backend,batch_size,density,block_width,latency_per_word_us,throughput_words_per_sec,table_size_bytes,repeats,mean,std,is_fastest
Naive.apply_many,1,0.05,8,14.36000457033515,69637.86084482151,0,5,1.436000457033515e-05,1.0784267820268027e-06,False
BlockLUT.apply_many,1,0.05,8,44.299999717622995,22573.363575038347,129024,5,4.429999971762299e-05,7.176445251279153e-07,False
PackedBlockLUT.apply_many,1,0.05,8,64.58000279963017,15484.669505243917,16128,5,6.458000279963017e-05,5.540684709945685e-07,False
PackedBlockLUT.apply_many_packed,1,0.05,8,64.83999313786626,15422.580287350533,16128,5,6.483999313786626e-05,1.4310702017916892e-06,False
PackedBatch.apply_many,1,0.05,8,11.239992454648018,88968.03125401343,0,5,1.1239992454648018e-05,1.866278494157854e-06,True
Naive.apply_many,4,0.05,8,6.67999847792089,149700.6329126057,0,5,6.67999847792089e-06,3.1986045585407657e-07,False
BlockLUT.apply_many,4,0.05,8,42.505000601522624,23526.64359129965,129024,5,4.250500060152262e-05,2.706090051193718e-06,False
PackedBlockLUT.apply_many,4,0.05,8,13.880000915378332,72046.10475868564,16128,5,1.3880000915378332e-05,8.366685739126202e-08,False
PackedBlockLUT.apply_many_packed,4,0.05,8,13.309999485500157,75131.48299437537,16128,5,1.3309999485500156e-05,7.416254957689874e-08,False
PackedBatch.apply_many,4,0.05,8,6.229997961781919,160513.69617366255,0,5,6.229997961781919e-06,6.93797925556316e-08,True
Naive.apply_many,16,0.05,8,5.282500205794349,189304.299298106,0,5,5.28250020579435e-06,2.8435999439273795e-08,True
BlockLUT.apply_many,16,0.05,8,39.426249713869765,25363.812365044952,129024,5,3.9426249713869765e-05,7.641686128425838e-07,False
PackedBlockLUT.apply_many,16,0.05,8,6.424999446608126,155642.0367519126,16128,5,6.424999446608126e-06,1.5514105353524242e-06,False
PackedBlockLUT.apply_many_packed,16,0.05,8,9.145000512944534,109349.36510769172,16128,5,9.145000512944535e-06,1.5017866455371348e-06,False
PackedBatch.apply_many,16,0.05,8,11.741249909391627,85169.8079605747,0,5,1.1741249909391627e-05,6.205087315742738e-07,False
Naive.apply_many,64,0.05,8,8.032500227272976,124494.23861883895,0,5,8.032500227272977e-06,4.6249498990386145e-07,False
BlockLUT.apply_many,64,0.05,8,45.76624996843748,21850.162525652555,129024,5,4.576624996843748e-05,2.6857831285179555e-06,False
PackedBlockLUT.apply_many,64,0.05,8,1.8946877389680594,527791.4557808082,16128,5,1.8946877389680594e-06,5.251728749969483e-07,False
PackedBlockLUT.apply_many_packed,64,0.05,8,1.433750003343448,697471.6635871244,16128,5,1.433750003343448e-06,3.240093632941082e-09,True
PackedBatch.apply_many,64,0.05,8,6.192812543304171,161477.5181724539,0,5,6.192812543304172e-06,9.733760028478932e-08,False
Naive.apply_many,256,0.05,8,6.014765585860005,166257.51838955795,0,5,6.014765585860005e-06,5.558874995253655e-07,False
BlockLUT.apply_many,256,0.05,8,46.46039064937213,21523.7105418853,129024,5,4.646039064937213e-05,3.3552969772665035e-06,False
PackedBlockLUT.apply_many,256,0.05,8,0.7013281447143527,1425866.0621802008,16128,5,7.013281447143526e-07,1.2813590507796195e-07,False
PackedBlockLUT.apply_many_packed,256,0.05,8,0.5742187568102963,1741496.5779851186,16128,5,5.742187568102963e-07,2.6057283930272634e-09,True
PackedBatch.apply_many,256,0.05,8,5.780312494607642,173001.02735498876,0,5,5.780312494607642e-06,2.695731943026312e-07,False
Naive.apply_many,1024,0.05,8,5.566445315707824,179647.8620167386,0,5,5.566445315707824e-06,4.5796808576230374e-08,False
BlockLUT.apply_many,1024,0.05,8,47.19253905705045,21189.79016558344,129024,5,4.719253905705045e-05,1.2381428215676695e-06,False
PackedBlockLUT.apply_many,1024,0.05,8,0.49261719823334715,2029973.788138658,16128,5,4.926171982333472e-07,8.722273882195136e-08,True
PackedBlockLUT.apply_many_packed,1024,0.05,8,0.49374999662177294,2025316.4695533752,16128,5,4.937499966217729e-07,4.127549386356425e-08,False
PackedBatch.apply_many,1024,0.05,8,6.438320315282908,155320.01376605302,0,5,6.438320315282908e-06,1.7843302065024664e-06,False
Naive.apply_many,4096,0.05,8,5.729711915591906,174528.84450940066,0,5,5.729711915591906e-06,1.2461276392504354e-07,False
BlockLUT.apply_many,4096,0.05,8,47.74590331919626,20944.205271700237,129024,5,4.7745903319196256e-05,1.8638946987500548e-06,False
PackedBlockLUT.apply_many,4096,0.05,8,0.49432129003434966,2022975.7855068543,16128,5,4.943212900343496e-07,6.123927976410206e-08,True
PackedBlockLUT.apply_many_packed,4096,0.05,8,0.6093408217111573,1641117.687129166,16128,5,6.093408217111573e-07,1.6125809930002051e-07,False
PackedBatch.apply_many,4096,0.05,8,5.670659183465432,176346.34134172808,0,5,5.6706591834654315e-06,1.1771444463800357e-07,False
