local_matrix_name,reference_name,reference_available,reference_type,parameters,candidate_transform,shape,num_equal_entries,num_total_entries,match_rate,exact_match,notes
placeholder,ofec,True,reference_syndrome_table,"n=255,k=239,r=16",identity,"(255, 16) vs (255, 16)",2020,4080,0.4950980392156863,False,"source=OFEC_CNN configured local path, commit=unknown, license=unknown"
placeholder,ofec,True,reference_syndrome_table,"n=255,k=239,r=16",reverse_codeword_positions,"(255, 16) vs (255, 16)",2072,4080,0.5078431372549019,False,"source=OFEC_CNN configured local path, commit=unknown, license=unknown"
placeholder,ofec,True,reference_syndrome_table,"n=255,k=239,r=16",reverse_bit_order_inside_each_byte,"(255, 16) vs (255, 16)",2060,4080,0.5049019607843137,False,"source=OFEC_CNN configured local path, commit=unknown, license=unknown"
placeholder,ofec,True,reference_syndrome_table,"n=255,k=239,r=16",reverse_output_byte_order,"(255, 16) vs (255, 16)",2004,4080,0.49117647058823527,False,"source=OFEC_CNN configured local path, commit=unknown, license=unknown"
placeholder,ofec,True,reference_syndrome_table,"n=255,k=239,r=16",reverse_output_bit_order,"(255, 16) vs (255, 16)",1996,4080,0.4892156862745098,False,"source=OFEC_CNN configured local path, commit=unknown, license=unknown"
placeholder,galois,True,message_one_hot_encoding,"n=255,k=239,r=16",identity,"(255, 16) vs (255, 16)",2020,4080,0.4950980392156863,False,"source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
placeholder,galois,True,message_one_hot_encoding,"n=255,k=239,r=16",reverse_codeword_positions,"(255, 16) vs (255, 16)",2072,4080,0.5078431372549019,False,"source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
placeholder,galois,True,message_one_hot_encoding,"n=255,k=239,r=16",reverse_bit_order_inside_each_byte,"(255, 16) vs (255, 16)",2060,4080,0.5049019607843137,False,"source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
placeholder,galois,True,message_one_hot_encoding,"n=255,k=239,r=16",reverse_output_byte_order,"(255, 16) vs (255, 16)",2004,4080,0.49117647058823527,False,"source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
placeholder,galois,True,message_one_hot_encoding,"n=255,k=239,r=16",reverse_output_bit_order,"(255, 16) vs (255, 16)",1996,4080,0.4892156862745098,False,"source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
placeholder,python-bchlib,False,unavailable,"n=255,k=239,r=16",not_run,,0,0,0.0,False,reference not available in this run
placeholder,aff3ct,False,unavailable,"n=255,k=239,r=16",not_run,,0,0,0.0,False,reference not available in this run
placeholder,linux-kernel,False,unavailable,"n=255,k=239,r=16",not_run,,0,0,0.0,False,reference not available in this run
galois_systematic_candidate,ofec,True,reference_syndrome_table,"n=255,k=239,r=16",identity,"(255, 16) vs (255, 16)",4080,4080,1.0,True,"source=OFEC_CNN configured local path, commit=unknown, license=unknown"
galois_systematic_candidate,ofec,True,reference_syndrome_table,"n=255,k=239,r=16",reverse_codeword_positions,"(255, 16) vs (255, 16)",1980,4080,0.4852941176470588,False,"source=OFEC_CNN configured local path, commit=unknown, license=unknown"
galois_systematic_candidate,ofec,True,reference_syndrome_table,"n=255,k=239,r=16",reverse_bit_order_inside_each_byte,"(255, 16) vs (255, 16)",2144,4080,0.5254901960784314,False,"source=OFEC_CNN configured local path, commit=unknown, license=unknown"
galois_systematic_candidate,ofec,True,reference_syndrome_table,"n=255,k=239,r=16",reverse_output_byte_order,"(255, 16) vs (255, 16)",2224,4080,0.5450980392156862,False,"source=OFEC_CNN configured local path, commit=unknown, license=unknown"
galois_systematic_candidate,ofec,True,reference_syndrome_table,"n=255,k=239,r=16",reverse_output_bit_order,"(255, 16) vs (255, 16)",2080,4080,0.5098039215686274,False,"source=OFEC_CNN configured local path, commit=unknown, license=unknown"
galois_systematic_candidate,galois,True,message_one_hot_encoding,"n=255,k=239,r=16",identity,"(255, 16) vs (255, 16)",4080,4080,1.0,True,"source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
galois_systematic_candidate,galois,True,message_one_hot_encoding,"n=255,k=239,r=16",reverse_codeword_positions,"(255, 16) vs (255, 16)",1980,4080,0.4852941176470588,False,"source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
galois_systematic_candidate,galois,True,message_one_hot_encoding,"n=255,k=239,r=16",reverse_bit_order_inside_each_byte,"(255, 16) vs (255, 16)",2144,4080,0.5254901960784314,False,"source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
galois_systematic_candidate,galois,True,message_one_hot_encoding,"n=255,k=239,r=16",reverse_output_byte_order,"(255, 16) vs (255, 16)",2224,4080,0.5450980392156862,False,"source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
galois_systematic_candidate,galois,True,message_one_hot_encoding,"n=255,k=239,r=16",reverse_output_bit_order,"(255, 16) vs (255, 16)",2080,4080,0.5098039215686274,False,"source=galois Python package, version=0.4.10, license=MIT, commit=not applicable"
galois_systematic_candidate,python-bchlib,False,unavailable,"n=255,k=239,r=16",not_run,,0,0,0.0,False,reference not available in this run
galois_systematic_candidate,aff3ct,False,unavailable,"n=255,k=239,r=16",not_run,,0,0,0.0,False,reference not available in this run
galois_systematic_candidate,linux-kernel,False,unavailable,"n=255,k=239,r=16",not_run,,0,0,0.0,False,reference not available in this run
