backend,matrix_source,total_bits,component_n,output_r,num_words,chunk_words,iterations,density,block_width,total_runtime_s,throughput_Mbit_s,latency_per_word_us,table_size_bytes,repeats,mean,std
Naive.apply_many,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,1,0.05,8,0.02191473334096372,45.62478513626442,5.589067416721173,0,3,0.02191473334096372,0.00026878185037354215
PackedBatch.apply_many,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,1,0.05,8,0.022273399983532727,44.890093148743226,5.680540674198604,0,3,0.022273399983532727,0.00031639577336310107
PackedBlockLUT.apply_many,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,1,0.05,8,0.00200409999039645,498.9047476629194,0.5111196098945294,16128,3,0.00200409999039645,0.00011921244424682683
PackedBlockLUT.apply_many_packed,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,1,0.05,8,0.0019828666700050235,504.24721698381614,0.5057043279788379,16128,3,0.0019828666700050235,0.00012706952869688092
Naive.apply_many,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,5,0.05,8,0.10968723332431789,45.57754670699357,5.594860154262581,0,3,0.10968723332431789,0.00022465832170835692
PackedBatch.apply_many,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,5,0.05,8,0.1095558666662934,45.63219800202727,5.588159483106014,0,3,0.1095558666662934,9.86315167693465e-05
PackedBlockLUT.apply_many,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,5,0.05,8,0.009587066674915453,521.4603350032597,0.4890113070602119,16128,3,0.009587066674915453,0.00013483941014859742
PackedBlockLUT.apply_many_packed,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,5,0.05,8,0.009373933329091718,533.3166798279759,0.4781399300735383,16128,3,0.009373933329091718,0.00025822074306097725
Naive.apply_many,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,10,0.05,8,0.2219429667068956,45.05008718390423,5.66036640415444,0,3,0.2219429667068956,0.0013707019659266908
PackedBatch.apply_many,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,10,0.05,8,0.21957330000198758,45.53627421872101,5.599931140065992,0,3,0.21957330000198758,0.0007839472280367635
PackedBlockLUT.apply_many,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,10,0.05,8,0.020187066654519487,495.29484254026187,0.514844852193815,16128,3,0.020187066654519487,0.0002994027039868042
PackedBlockLUT.apply_many_packed,bch255_t2_syndrome_placeholder,1000000,255,16,3921,4096,10,0.05,8,0.01844943332253024,541.9434746426538,0.4705287763970987,16128,3,0.01844943332253024,0.0006662668197443167
Naive.apply_many,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,1,0.05,8,0.22530873333259174,44.38276693535291,5.7454732457628905,0,3,0.22530873333259174,0.0019476233903222239
PackedBatch.apply_many,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,1,0.05,8,0.21952700001808503,45.55168612141648,5.598036466099325,0,3,0.21952700001808503,0.0013912654503663172
PackedBlockLUT.apply_many,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,1,0.05,8,0.019764533344035346,505.9479435176143,0.5040044203502575,16128,3,0.019764533344035346,0.0005595718814990839
PackedBlockLUT.apply_many_packed,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,1,0.05,8,0.018475333325720083,541.2527516393404,0.47112924456764205,16128,3,0.018475333325720083,0.0002548342681292976
Naive.apply_many,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,5,0.05,8,1.1115232666876789,44.98252668070239,5.668867865294804,0,3,1.1115232666876789,0.003230304861174542
PackedBatch.apply_many,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,5,0.05,8,1.111963266642609,44.96472725305412,5.671111904335631,0,3,1.111963266642609,0.0033359665784977377
PackedBlockLUT.apply_many,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,5,0.05,8,0.09372090001124889,533.4895951063086,0.4779849547940782,16128,3,0.09372090001124889,0.004224970538285636
PackedBlockLUT.apply_many_packed,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,5,0.05,8,0.0920865666703321,542.9578581097043,0.46964970888859925,16128,3,0.0920865666703321,0.003340175044952
Naive.apply_many,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,10,0.05,8,2.265150666683136,44.14640115150822,5.77623528415947,0,3,2.265150666683136,0.03704831978857357
PackedBatch.apply_many,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,10,0.05,8,2.2352409999778806,44.73712230627013,5.699964299318834,0,3,2.2352409999778806,0.012964787235588226
PackedBlockLUT.apply_many,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,10,0.05,8,0.19957133332112184,501.0651997754458,0.5089158059954656,16128,3,0.19957133332112184,0.011928151643097648
PackedBlockLUT.apply_many_packed,bch255_t2_syndrome_placeholder,10000000,255,16,39215,4096,10,0.05,8,0.21483363333391026,465.46831819659894,0.5478353521201333,16128,3,0.21483363333391026,0.02876925172136782
