backend,block_width,density,latency_per_word_us,throughput_words_per_sec,table_size_bytes,repeats,mean,std
Naive,4,0.05,11.069023412346723,90342.20660194555,0,5,1.1069023412346723e-05,8.652825331717087e-07
SparseXor,4,0.05,5.791835951640678,172656.82390688668,0,5,5.791835951640678e-06,7.4067814013152e-08
BlockLUT,4,0.05,89.32878906762198,11194.599304855672,16256,5,8.932878906762199e-05,3.5412571363465502e-06
PackedBlockLUT,4,0.05,78.70394529163605,12705.84335123885,2032,5,7.870394529163605e-05,4.081621005395016e-06
Naive,6,0.05,10.458124984324968,95619.43479341065,0,5,1.0458124984324968e-05,5.089373853115303e-08
SparseXor,6,0.05,6.9165234208412585,144581.30756656497,0,5,6.916523420841258e-06,2.4654652763443736e-07
BlockLUT,6,0.05,59.67277343188471,16758.061381904434,43136,5,5.967277343188471e-05,1.4349998072781928e-06
PackedBlockLUT,6,0.05,54.40070312943135,18382.11534914867,5392,5,5.440070312943135e-05,1.8181784974334844e-06
Naive,8,0.05,10.787187488858763,92702.56969509627,0,5,1.0787187488858762e-05,4.135641530034421e-07
SparseXor,8,0.05,6.2985937347548315,158765.5978638737,0,5,6.298593734754831e-06,2.6776942150019274e-07
BlockLUT,8,0.05,49.67328125076165,20131.547077628715,129024,5,4.967328125076165e-05,5.061682193798003e-06
PackedBlockLUT,8,0.05,42.93800782306789,23289.38976676889,16128,5,4.293800782306789e-05,2.6043860266344628e-06
Naive,10,0.05,10.842578103620326,92228.98746434679,0,5,1.0842578103620325e-05,3.879724581846071e-07
SparseXor,10,0.05,6.973125005060865,143407.72598716253,0,5,6.973125005060865e-06,7.343945738023401e-07
BlockLUT,10,0.05,48.67179688972101,20545.77936100793,410112,5,4.867179688972101e-05,1.2526025383161342e-05
PackedBlockLUT,10,0.05,34.888203117589,28662.983777913363,51264,5,3.4888203117589e-05,2.005253596257807e-06
Naive,12,0.05,16.323476552315697,61261.45964035689,0,5,1.6323476552315695e-05,2.5824005253573197e-06
SparseXor,12,0.05,6.516484404528455,153456.97740104725,0,5,6.516484404528455e-06,6.36764828018848e-07
BlockLUT,12,0.05,33.0539844071609,30253.538807362584,1376384,5,3.30539844071609e-05,1.2103034427353998e-06
PackedBlockLUT,12,0.05,31.44859374515363,31797.92419666156,172048,5,3.144859374515363e-05,1.9174573234385997e-06
Naive,14,0.05,11.31316407736449,88392.6011469074,0,5,1.131316407736449e-05,2.5823550347686177e-07
SparseXor,14,0.05,6.137109380688344,162943.16069169345,0,5,6.137109380688344e-06,1.6944411374877726e-08
BlockLUT,14,0.05,29.669843729607237,33704.25571207543,4718720,5,2.9669843729607238e-05,1.497801084519911e-06
PackedBlockLUT,14,0.05,27.082929659627553,36923.62726513658,589840,5,2.7082929659627552e-05,7.007938877500625e-07
Naive,16,0.05,11.355195306350652,88065.41613958213,0,5,1.1355195306350652e-05,2.2015979429632897e-07
SparseXor,16,0.05,6.668945320598141,149948.74780444437,0,5,6.668945320598141e-06,2.114270543753236e-07
BlockLUT,16,0.05,28.49398440503137,35095.12694979308,16252928,5,2.849398440503137e-05,5.000195792030323e-06
PackedBlockLUT,16,0.05,25.301874984506867,39522.762665309645,2031616,5,2.5301874984506867e-05,1.5128860090799766e-06
Naive,18,0.05,10.394023456683499,96209.1344287843,0,5,1.0394023456683499e-05,1.1170523900233298e-06
SparseXor,18,0.05,6.443124993893434,155204.19066024089,0,5,6.443124993893434e-06,2.2366962459726903e-07
BlockLUT,18,0.05,25.170468757096387,39729.09720714148,58720384,5,2.5170468757096386e-05,1.7900696069461295e-06
PackedBlockLUT,18,0.05,23.67445313211647,42239.624054648695,7340048,5,2.367445313211647e-05,4.344313622539466e-07
Naive,20,0.05,10.649257797012979,93903.25777262064,0,5,1.0649257797012979e-05,1.3292551063415676e-07
SparseXor,20,0.05,5.906835917812714,169295.37470041955,0,5,5.906835917812714e-06,1.5041724672819156e-07
BlockLUT,20,0.05,23.6035156149228,42366.57014634601,201850880,5,2.36035156149228e-05,2.8145276137352843e-06
PackedBlockLUT,20,0.05,19.218242186980206,52033.89520595544,25231360,5,1.9218242186980206e-05,1.4853575651786365e-07
