preset,code_profile,n,r,backend,block_width,batch_size,density,lut_bytes,fits_l1,fits_l2,fits_l3,latency_per_word_us,throughput_Mword_s,mean,std,repeats,correctness_passed
lightweight,bch_255_239_r16,255,16,Naive.apply_many,4,1,0.005,0,True,True,True,14.933330627779165,0.06696429784657601,1.4933330627779165e-05,7.767512610376942e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,4,1,0.005,0,True,True,True,16.13332036261757,0.06198352090727056,1.613332036261757e-05,7.023546412285956e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,4,1,0.005,0,True,True,True,14.133343938738108,0.07075466388807664,1.4133343938738108e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,4,1,0.005,2032,True,True,True,158.23333524167538,0.006319780838043163,0.00015823333524167538,4.6185012612684086e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,6,1,0.005,0,True,True,True,14.933330627779165,0.06696429784657601,1.4933330627779165e-05,7.767512610376942e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,6,1,0.005,0,True,True,True,16.13332036261757,0.06198352090727056,1.613332036261757e-05,7.023546412285956e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,6,1,0.005,0,True,True,True,14.133343938738108,0.07075466388807664,1.4133343938738108e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,6,1,0.005,5392,True,True,True,137.5666664292415,0.007269202823304277,0.0001375666664292415,4.111646592557694e-05,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,8,1,0.005,0,True,True,True,14.933330627779165,0.06696429784657601,1.4933330627779165e-05,7.767512610376942e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,8,1,0.005,0,True,True,True,16.13332036261757,0.06198352090727056,1.613332036261757e-05,7.023546412285956e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,8,1,0.005,0,True,True,True,14.133343938738108,0.07075466388807664,1.4133343938738108e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,8,1,0.005,16128,True,True,True,69.13333587969343,0.014464801781592177,6.913333587969343e-05,6.658378818274706e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,10,1,0.005,0,True,True,True,14.933330627779165,0.06696429784657601,1.4933330627779165e-05,7.767512610376942e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,10,1,0.005,0,True,True,True,16.13332036261757,0.06198352090727056,1.613332036261757e-05,7.023546412285956e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,10,1,0.005,0,True,True,True,14.133343938738108,0.07075466388807664,1.4133343938738108e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,10,1,0.005,51264,False,True,True,55.26666063815355,0.0180940912378854,5.526666063815355e-05,3.0547561791219836e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,12,1,0.005,0,True,True,True,14.933330627779165,0.06696429784657601,1.4933330627779165e-05,7.767512610376942e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,12,1,0.005,0,True,True,True,16.13332036261757,0.06198352090727056,1.613332036261757e-05,7.023546412285956e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,12,1,0.005,0,True,True,True,14.133343938738108,0.07075466388807664,1.4133343938738108e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,12,1,0.005,172048,False,True,True,52.36665795867642,0.019096120298322646,5.236665795867642e-05,3.0550737259653914e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,14,1,0.005,0,True,True,True,14.933330627779165,0.06696429784657601,1.4933330627779165e-05,7.767512610376942e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,14,1,0.005,0,True,True,True,16.13332036261757,0.06198352090727056,1.613332036261757e-05,7.023546412285956e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,14,1,0.005,0,True,True,True,14.133343938738108,0.07075466388807664,1.4133343938738108e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,14,1,0.005,589840,False,True,True,48.09999760861198,0.02079002182363844,4.809999760861198e-05,6.082665315835512e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,16,1,0.005,0,True,True,True,14.933330627779165,0.06696429784657601,1.4933330627779165e-05,7.767512610376942e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,16,1,0.005,0,True,True,True,16.13332036261757,0.06198352090727056,1.613332036261757e-05,7.023546412285956e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,16,1,0.005,0,True,True,True,14.133343938738108,0.07075466388807664,1.4133343938738108e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,16,1,0.005,2031616,False,False,True,38.933338752637304,0.025684927931649865,3.8933338752637305e-05,1.5275368629826957e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,18,1,0.005,0,True,True,True,14.933330627779165,0.06696429784657601,1.4933330627779165e-05,7.767512610376942e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,18,1,0.005,0,True,True,True,16.13332036261757,0.06198352090727056,1.613332036261757e-05,7.023546412285956e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,18,1,0.005,0,True,True,True,14.133343938738108,0.07075466388807664,1.4133343938738108e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,18,1,0.005,7340048,False,False,True,34.49999106427034,0.02898551475381808,3.449999106427034e-05,2.0000152572209566e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,20,1,0.005,0,True,True,True,14.933330627779165,0.06696429784657601,1.4933330627779165e-05,7.767512610376942e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,20,1,0.005,0,True,True,True,16.13332036261757,0.06198352090727056,1.613332036261757e-05,7.023546412285956e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,20,1,0.005,0,True,True,True,14.133343938738108,0.07075466388807664,1.4133343938738108e-05,1.1548773985543181e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,20,1,0.005,25231360,False,False,False,27.999999777724344,0.03571428599780058,2.7999999777724344e-05,5.291322916060263e-07,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,4,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,4,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,4,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,4,64,0.005,2032,True,True,True,2.170833189059825,0.46065262178578265,2.170833189059825e-06,1.2629145717472101e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,6,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,6,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,6,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,6,64,0.005,5392,True,True,True,1.617708221601788,0.6181584457856321,1.617708221601788e-06,5.381759921487819e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,8,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,8,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,8,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,8,64,0.005,16128,True,True,True,1.2999998943996616,0.7692308317161817,1.2999998943996616e-06,1.6462084338309984e-08,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,10,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,10,64,0.005,0,True,True,True,5.038020693367192,0.19849064957524895,5.038020693367192e-06,1.3542733693786258e-07,3,True
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,10,64,0.005,0,True,True,True,5.26822926379585,0.18981709981229686,5.26822926379585e-06,9.448047663338009e-08,3,True
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,10,64,0.005,51264,False,True,True,0.9906252671498805,1.0094634501672781,9.906252671498805e-07,6.810831459918406e-09,3,True
lightweight,bch_255_239_r16,255,16,Naive.apply_many,12,64,0.005,0,True,True,True,5.6369790399912745,0.1773999855074054,5.6369790399912745e-06,4.182261956281747e-07,3,True
