preset,code_profile,n,r,cache_profile,workload_type,batch_size,density_or_weight,output_mode,selected_backend,selected_block_width,selection_reason,lut_bytes,fits_l1,fits_l2,fits_l3,oracle_best_backend,oracle_best_block_width,selected_latency_us,oracle_best_latency_us,planner_over_oracle,correctness_passed
lightweight,bch_255_239_r16,255,16,default_cpu_cache,sparse_single,1,weight=2,unpacked,SparseXorKernel,0,sparse single input hamming_weight=2 <= 8,0,True,True,True,SparseXorKernel,0,8.600007276982069,8.600007276982069,1.0,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,dense_batch,1,density=0.5,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,PackedBatchGF2Kernel,0,69.20000305399299,13.499986380338669,5.125931323514194,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,dense_batch,64,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,397.60000072419643,82.20004383474588,4.8369803977662995,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,dense_batch,1024,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,5838.399985805154,441.1999834701419,13.233001370228443,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,dense_batch,4096,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,22757.70000414923,1884.999976027757,12.073050553616621,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,True,True,True,PackedBatchGF2Kernel,0,18.200022168457508,18.200022168457508,1.0,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,candidate_test_packed,64,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,10,69.90000838413835,69.90000838413835,1.0,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,candidate_test_packed,1024,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,8,651.9999587908387,409.6999764442444,1.591408338485879,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,candidate_test_packed,4096,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,8,1974.2000149562955,1900.6000366061926,1.0387246011430826,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,component_decode_batch,1,density=0.02,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,PackedBatchGF2Kernel,0,72.60002894327044,33.60002301633358,2.160713667010831,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,component_decode_batch,64,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,579.1999865323305,239.2000169493258,2.4214044543944713,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,component_decode_batch,1024,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,6,7977.999979630113,2842.1999886631966,2.806980512086517,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,component_decode_batch,4096,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,36019.29999422282,11174.799990840256,3.2232612685459308,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,event_update,1,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,PackedBatchGF2Kernel,0,13.000040780752897,12.999982573091984,1.0000044775183803,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,event_update,64,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,17.300015315413475,17.300015315413475,1.0,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,event_update,1024,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,71.00001676008105,71.00001676008105,1.0,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,event_update,4096,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,267.1999973244965,267.1999973244965,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,sparse_single,1,weight=2,unpacked,SparseXorKernel,0,sparse single input hamming_weight=2 <= 8,0,True,True,True,SparseXorKernel,0,5.999987479299307,5.999987479299307,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,dense_batch,1,density=0.5,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,PackedBatchGF2Kernel,0,60.399994254112244,11.399970389902592,5.298258871585397,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,dense_batch,64,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,384.5000173896551,73.79997987300158,5.210028756800755,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,dense_batch,1024,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,5488.800001330674,510.6999888084829,10.74760156963509,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,dense_batch,4096,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,23472.599976230413,1961.899979505688,11.96421847261779,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,True,True,True,PackedBatchGF2Kernel,0,13.599987141788006,13.599987141788006,1.0,True
