profile,task,backend,baseline_role,output_mode,batch_size,input_width,output_width,processed_bits,median_runtime_s,throughput_Mbit_s,throughput_Mcodeword_s,samples_s,warmups,repeats,block_width,packed_word_bits,correctness_passed,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,1,255,16,255,1.850002445280552e-05,13.783765564770883,0.054053982606944634,2.0699982997e-05;1.85000244528e-05;1.82999647222e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,1,255,16,255,1.9200029782950878e-05,13.281229398218606,0.05208325254203375,1.9200029783e-05;1.96999753825e-05;1.83000229299e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,1,255,16,255,0.00010409997776150703,2.4495682466350264,0.009606149986804025,0.000104099977762;0.000184800010175;0.000100800010841,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,1,255,16,255,0.00013260002015158534,1.9230766308216982,0.007541476983614502,0.000135300040711;0.000132599961944;0.000132600020152,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,10,255,16,2550,5.979998968541622e-05,42.64214782334459,0.16722410911115523,5.97999896854e-05;5.81999775022e-05;7.90000194684e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,10,255,16,2550,8.709996473044157e-05,29.27670531086646,0.11481060906222142,0.000123800011352;8.70999647304e-05;8.06000316516e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,10,255,16,2550,7.569999434053898e-05,33.6856035751963,0.13210040617724042,7.56999943405e-05;7.21999676898e-05;7.62999989092e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,10,255,16,2550,5.89000410400331e-05,43.293688000434834,0.16977916862915618,5.890004104e-05;5.83999790251e-05;5.97999896854e-05,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,100,255,16,25500,0.0005207000067457557,48.97253633501678,0.19204916209810502,0.000513199949637;0.000520700006746;0.000534799997695,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,100,255,16,25500,0.0007282000151462853,35.01785151003794,0.13732490788250176,0.000719300005585;0.000732099986635;0.000728200015146,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,100,255,16,25500,0.00010150001617148519,251.23148706614512,0.9852215179064514,9.42000187933e-05;0.000105699989945;0.000101500016171,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,100,255,16,25500,0.00012909999350085855,197.5213112604101,0.7745933774918043,0.000129899999592;0.000128399988171;0.000129099993501,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,1000,255,16,255000,0.00575020001269877,44.34628350959215,0.1739069941552633,0.0057502000127;0.0038808999816;0.00582379999105,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,1000,255,16,255000,0.004868899995926768,52.37322602914998,0.20538520011431363,0.00487240002258;0.00486889999593;0.00450789998285,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,1000,255,16,255000,0.0011946000158786774,213.4605697392671,0.8371002734873221,0.00120790000074;0.00119310000446;0.00119460001588,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,1000,255,16,255000,0.0012156000011600554,209.7729514286375,0.8226390252103432,0.00121560000116;0.00119939999422;0.00123409996741,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,10000,255,16,2550000,0.06043720000889152,42.1925568958331,0.1654610074346396,0.0582541999756;0.0604372000089;0.0705986000248,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized baseline,unpacked,10000,255,16,2550000,0.05394070001784712,47.27413621173424,0.18538876945778132,0.0473916000337;0.0539407000178;0.069995399972,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,same-task vectorized baseline
bch_255_239_r16,syndrome,galois.GF2_matmul,third-party verified same-task baseline,unpacked,10000,255,16,2550000,0.010061900014989078,253.4312601199872,0.9938480789019106,0.00801920000231;0.010061900015;0.0107739000232,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,galois output matched PackedBatchGF2Kernel before timing
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,packed,10000,255,16,2550000,0.007596799987368286,335.6676500947844,1.3163437258618995,0.00711099995533;0.00759679998737;0.00911230000202,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,vectorized packed LUT path; not BlockLUTKernel.apply_many
bch_255_239_r16,syndrome,NaiveGF2Kernel.apply_many,vectorization-overhead reference only,unpacked,100000,255,16,25500000,0.5136732999817468,49.642447837771854,0.19467626603047786,0.54533589998;0.513673299982;0.513335100026,1,3,8,16,True,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,20260728,not a headline baseline
