preset,workload_type,code_profile,task_kind,backend_or_method,num_units,unit_type,total_runtime_s,latency_per_unit_us,throughput_Munit_s,correctness_passed,notes
lightweight,product_like,bch_255_239_r16,syndrome,Naive.apply_many,16,component,0.00011003333687161405,6.877083554475878,0.1454104769963367,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,PackedBatch.apply_many,16,component,0.00011530000483617187,7.206250302260742,0.13876842436159625,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,PackedBlockLUT.apply_many_packed,16,component,0.00013373332330957055,8.35833270684816,0.1196410857371924,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,EventUpdate.integrated,16,component,0.00010909999643142025,6.818749776963766,0.14665445025983595,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,Naive.apply_many,48,component,0.00033873333207642037,7.056944418258758,0.14170438942563496,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,PackedBatch.apply_many,48,component,0.0004154333534340064,8.654861529875134,0.11554199874234469,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,PackedBlockLUT.apply_many_packed,48,component,0.0004196666607943674,8.743055433215986,0.1143764908776481,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,EventUpdate.integrated,48,component,0.00036346667911857367,7.572222481636952,0.1320616242358243,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,Naive.apply_many,16,component,0.00012166668117667238,7.604167573542024,0.1315068336315213,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,PackedBatch.apply_many,16,component,0.00013453332940116525,8.408333087572828,0.11892963677639734,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,PackedBlockLUT.apply_many_packed,16,component,0.00013239999922613302,8.274999951633314,0.1208459221564854,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,EventUpdate.integrated,16,component,0.00010689999908208847,6.681249942630529,0.14967259249191953,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,Naive.apply_many,48,component,0.00032493332400918007,6.769444250191252,0.14772261400509323,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,PackedBatch.apply_many,48,component,0.0002853333329161008,5.9444444357521,0.16822429931140884,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,PackedBlockLUT.apply_many_packed,48,component,0.00033329999617611367,6.943749920335701,0.14401440309239336,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,EventUpdate.integrated,48,component,0.00033820001408457756,7.0458336267620325,0.14192784743053288,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,Naive.apply_many,64,component,0.0003290333552286029,5.14114617544692,0.19450915532723012,True,trace-level task breakdown; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,syndrome,PackedBatch.apply_many,64,component,0.0003322999885616203,5.192187321275317,0.19259705748720515,True,trace-level task breakdown; no BER; no full decoder
