preset,workload_type,code_profile,n,r,num_blocks,window_len,num_iterations_or_steps,num_syndrome_calls,num_candidate_tests,num_executed_candidate_tests,num_event_updates,backend_or_method,block_width,batch_size,density,total_runtime_s,latency_per_component_us,throughput_Mcomponent_s,mean,std,repeats,correctness_passed,notes
lightweight,product_like,bch_255_239_r16,255,16,8,4,1,16,0,0,0,Naive.apply_many,8,64,0.05,0.00011236664916699131,7.022915572936957,0.14239100408006242,0.00011236664916699131,4.8055307956903e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,4,1,16,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0001193999972504874,7.462499828155463,0.13400335316954695,0.0001193999972504874,6.557754756630415e-07,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,4,1,16,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00013489999885981283,8.431249928738302,0.1186063760951332,0.00013489999885981283,2.0298195780366957e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,4,1,16,0,0,0,EventUpdate.integrated,8,64,0.05,0.00011196666552374761,6.9979165952342255,0.14289967398025685,0.00011196666552374761,2.926332024845409e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,4,3,48,0,0,0,Naive.apply_many,8,64,0.05,0.00036286667454987764,7.5597223864557845,0.1322799897773533,0.00036286667454987764,6.113364010340543e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,4,3,48,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0003314666682854295,6.905555589279781,0.14481094056391422,0.0003314666682854295,3.5104538501980725e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,4,3,48,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00039763333431134623,8.284027798153048,0.12071422553929062,0.00039763333431134623,1.562190712823652e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,4,3,48,0,0,0,EventUpdate.integrated,8,64,0.05,0.00039736666561414796,8.278472200294749,0.12079523561900658,0.00039736666561414796,2.8436319220111922e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,8,1,16,0,0,0,Naive.apply_many,8,64,0.05,0.00012126667813087504,7.57916738317969,0.13194061424468367,0.00012126667813087504,3.1643773542151243e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,8,1,16,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0001282666732246677,8.016667076541731,0.12474011836242861,0.0001282666732246677,8.736639465298904e-07,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,8,1,16,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00014083331916481256,8.802082447800785,0.11360947888528942,0.00014083331916481256,7.724200902322128e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,8,1,16,0,0,0,EventUpdate.integrated,8,64,0.05,0.00011036667274311185,6.8979170464444906,0.14497129978033685,0.00011036667274311185,4.015384063807338e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,8,3,48,0,0,0,Naive.apply_many,8,64,0.05,0.0003383666626177728,7.0493054712036,0.14185794672751778,0.0003383666626177728,6.9176120041582295e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,8,3,48,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0005547666611770788,11.557638774522477,0.08652286332087038,0.0005547666611770788,0.00029322503292440917,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,8,3,48,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0003377333632670343,7.036111734729881,0.14212395108281922,0.0003377333632670343,9.2651499213561e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,8,8,3,48,0,0,0,EventUpdate.integrated,8,64,0.05,0.00027026666793972254,5.630555582077553,0.177602367195001,0.00027026666793972254,2.5541030480284974e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,1,64,0,0,0,Naive.apply_many,8,64,0.05,0.00034529999053726595,5.3953123521447806,0.18534608095534513,0.00034529999053726595,1.2925976484579815e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,1,64,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0003646000016791125,5.696875026236133,0.17553483188496233,0.0003646000016791125,3.4542168867848716e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,1,64,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00013543331685165563,2.1161455758071193,0.47255728123458135,0.00013543331685165563,1.101522496929104e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,1,64,0,0,0,EventUpdate.integrated,8,64,0.05,0.0003919666827035447,6.124479417242886,0.1632791837269623,0.0003919666827035447,2.9250673474387843e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,3,192,0,0,0,Naive.apply_many,8,64,0.05,0.0011287999999088545,5.879166666191951,0.1700921332525719,0.0011287999999088545,4.380549282955207e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,3,192,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0010555333380276959,5.497569468894249,0.18189856547663316,0.0010555333380276959,5.85950989394182e-07,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,3,192,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00041993332949156564,2.187152757768571,0.4572154352036406,0.00041993332949156564,7.321428239597956e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,4,3,192,0,0,0,EventUpdate.integrated,8,64,0.05,0.0012495000070581834,6.507812536761372,0.1536614637178305,0.0012495000070581834,7.439241876200939e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,1,64,0,0,0,Naive.apply_many,8,64,0.05,0.0003962333236510555,6.191145682047742,0.16152099326295397,0.0003962333236510555,7.600880647288164e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,1,64,0,0,0,PackedBatch.apply_many,8,64,0.05,0.00036933333224927384,5.770833316394904,0.1732851990645798,0.00036933333224927384,2.8112940336442638e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,1,64,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.00013786666871358952,2.1541666986498362,0.46421662753712073,0.00013786666871358952,5.131640513992022e-07,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,1,64,0,0,0,EventUpdate.integrated,8,64,0.05,0.0003683666776244839,5.755729337882561,0.17373992786948592,0.0003683666776244839,1.8963465507101668e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,3,192,0,0,0,Naive.apply_many,8,64,0.05,0.0012367333401925862,6.44131948016972,0.15524769468097419,0.0012367333401925862,4.540665895377521e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,3,192,0,0,0,PackedBatch.apply_many,8,64,0.05,0.0011103333478483062,5.782986186709928,0.17292104247077975,0.0011103333478483062,4.769585273953779e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,3,192,0,0,0,PackedBlockLUT.apply_many_packed,8,64,0.05,0.0004015333252027631,2.0913194020977244,0.47816703608111577,0.0004015333252027631,1.8876685427766826e-06,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,bch_255_239_r16,255,16,32,8,3,192,0,0,0,EventUpdate.integrated,8,64,0.05,0.0013779333288160462,7.176736087583574,0.13933910733182647,0.0013779333288160462,6.026941542886745e-05,3,True,trace-level workload only; no BER; no full decoder
lightweight,product_like,ebch_256_239_r17,256,17,8,4,1,16,0,0,0,Naive.apply_many,8,64,0.05,0.00011966666594768564,7.479166621730353,0.1337047361793691,0.00011966666594768564,2.8919591483020147e-06,3,True,trace-level workload only; no BER; no full decoder
