source,source_path,h,snr_db,post_fec_errors,total_bits,post_fec_ber,zero_error_95_upper_approx,measurement_blocks,total_blocks,elapsed_sec,stop_reason,accepted_for_h_selection,notes
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2109_h15\fig3_baseline.csv,15,13.8,6576,8388608,0.0007839202880859,,2048,2652,73.67160870000953,target_errors_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2109_h15\fig3_baseline.csv,15,13.9,161,92274688,1.7447905106977983e-06,,22528,29172,189.86772029998247,target_errors_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2109_h15\fig3_baseline.csv,15,14.0,0,151912448,0.0,1.972012353412822e-08,37088,48564,157.4034105000319,max_blocks_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2139_h18\fig3_baseline.csv,18,13.8,2633,8388608,0.0003138780593872,,2048,2772,83.68307309999363,target_errors_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2139_h18\fig3_baseline.csv,18,13.9,142,25165824,5.6425730387369794e-06,,6144,8316,136.16424810001627,target_errors_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2139_h18\fig3_baseline.csv,18,14.0,0,148979712,0.0,2.0108323450784837e-08,36372,49404,206.6939227000112,max_blocks_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2211_h20\fig3_baseline.csv,20,13.8,3468,8388608,0.0004134178161621,,2048,2852,94.90116879995912,target_errors_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2211_h20\fig3_baseline.csv,20,13.9,0,145375232,0.0,2.0606895745345355e-08,35492,49964,266.6569311999483,max_blocks_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2211_h20\fig3_baseline.csv,20,14.0,0,145375232,0.0,2.0606895745345355e-08,35492,49964,257.3934520999901,max_blocks_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2251_h22\fig3_baseline.csv,22,13.8,2589,8388608,0.0003086328506469,,2048,2932,107.52632289996836,target_errors_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2251_h22\fig3_baseline.csv,22,13.9,0,142606336,0.0,2.100700657869936e-08,34816,49844,286.7025492999237,max_blocks_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
mc_coarse_calibration,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_calibration\20260627_2251_h22\fig3_baseline.csv,22,14.0,0,142606336,0.0,2.100700657869936e-08,34816,49844,291.8108429000713,max_blocks_reached,True,MC warmup/measure/discard coarse calibration; use as primary h-selection evidence.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_low_h\h12\20260628_0040\fig3_baseline.csv,12,13.9,275,32768,0.008392333984375,,8,128,4.129927199915983,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
short_startup_probe,D:\PKU\acp2026\ofec_block_lut_backend\results\round30_h_probe_low_h\h12\20260628_0040\fig3_baseline.csv,12,14.0,238,32768,0.00726318359375,,8,128,4.201392599963583,target_errors_reached,False,Short early-stop probe; accepted only as smoke data because measurement_blocks is tiny and startup transient dominates.
