profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,syndrome,natural,4,100,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500,16,2.062544299988076,0.0026802999200299382,0.0010205000871792436,0.008883400005288422,0.012876200024038553,146.13186231631224,0.5730661267306363,6.843134578244359,0.00017449993174523115,0.00017230003140866756,0.0002815999323502183,3.303723541927708e-05,0.17385578248834221,0.00017650006339;0.000174499931745;0.000251700053923;0.00028159993235;0.00017720006872;0.000174899934791;0.000173700042069;0.000174000044353;0.000174099928699;0.000172300031409;0.00017240003217;0.000173299922608;0.00017380004283;0.000192399951629;0.000208000070415,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,4,1000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.062544299988076,0.002722300007008016,0.008568899938836694,0.03342340001836419,0.04526859999168664,340.45393908261303,1.3351134865984826,2.9372548976657438,0.0007489999989047647,0.0006161000346764922,0.0009633000008761883,8.540862762755912e-05,0.11386703542984368,0.000748999998905;0.000963300000876;0.000770600046962;0.000748199992813;0.000751100014895;0.000743699958548;0.000741600058973;0.00079389999155;0.000761699979194;0.000748899998143;0.000830000033602;0.000772999948822;0.000643500010483;0.000616500037722;0.000616100034676,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,4,10000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,2550000,16,2.062544299988076,0.0027651001000776887,0.08459179999772459,0.3630624000215903,0.45507759996689856,323.64923873549634,1.2692127009235152,3.0897647215455186,0.007878900039941072,0.007396799977868795,0.008616700069978833,0.0003086483417558328,0.038860090492382524,0.00817309995182;0.00782270007767;0.00806290004402;0.0078508000588;0.00773380009923;0.0077111000428;0.00803230004385;0.00772729993332;0.00739679997787;0.00861670006998;0.00825739989523;0.00817980000284;0.00787890003994;0.00813179998659;0.00756289996207,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,4,100000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500000,16,2.062544299988076,0.002859200001694262,1.367782499990426,12.141509599983692,13.553223800030537,97.78330987822523,0.38346396030676555,10.22669411830458,0.2607807000167668,0.24602700001560152,0.28803589998278767,0.012563508057935411,0.04807230465765151,0.260780700017;0.257618900039;0.27979489998;0.261381199933;0.264943100046;0.288035899983;0.247282899916;0.246027000016;0.249928600038;0.273677899968;0.249395699939;0.270061800024;0.266810099944;0.252416400006;0.25203600002,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,4,300000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,76500000,16,2.062544299988076,0.004223800031468272,3.1435077999485657,29.537406399962492,32.84114340005908,122.10212941943449,0.4788318800762137,8.18986535906256,0.6265246999682859,0.6007703000213951,0.7440255000256002,0.04636749077270294,0.07181965122552252,0.658359900001;0.653882499901;0.606804100098;0.626524699968;0.600770300021;0.626087700017;0.612949699978;0.650208999985;0.61435170006;0.602370999986;0.640718499897;0.615674500004;0.744025500026;0.740589099936;0.690833000001,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,5,100,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500,16,2.062544299988076,0.005230000009760261,0.0013624000130221248,0.016312099993228912,0.02336059999652207,74.020330983174,0.290275807777153,13.509801789826037,0.00034449994564056396,0.00031949998810887337,0.0004490999272093177,3.0228718608743995e-05,0.0863710570538245,0.000341600039974;0.000361500075087;0.000353500014171;0.000355099909939;0.000341800041497;0.000342900049873;0.000346299959347;0.000359099940397;0.00032650004141;0.000325500033796;0.000352800008841;0.000449099927209;0.000319499988109;0.000330100068823;0.000344499945641,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,5,1000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.062544299988076,0.006410300033167005,0.013051099958829582,0.06330030004028231,0.08374819997698069,179.0730316437933,0.7022471829168366,5.584313789857369,0.001424000016413629,0.0007576000643894076,0.0017294000135734677,0.00029298421253477264,0.21667010978445347,0.00100620009471;0.000888800015673;0.00141190004069;0.00107659993228;0.000757600064389;0.0012556000147;0.00141899997834;0.00152589997742;0.00154570001177;0.0016754999524;0.00161089992616;0.00142400001641;0.00151169998571;0.00144440005533;0.00172940001357,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,5,10000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,2550000,16,2.062544299988076,0.005238399957306683,0.0894881000276655,0.42410770000424236,0.5266627999953926,246.2792510301375,0.9658009844319116,4.060431383550167,0.010354100028052926,0.006616599974222481,0.012191300047561526,0.002204833002006591,0.2352460900765008,0.00713120005094;0.00715940003283;0.00752799992915;0.00710369995795;0.00742500007618;0.00701649999246;0.00661659997422;0.0103541000281;0.0113658999326;0.0109528000467;0.0114987000125;0.0113631000277;0.0110980999889;0.0117823999608;0.0121913000476,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,5,100000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,25500000,16,2.062544299988076,0.003224999993108213,0.92365599994082,8.399572000023909,9.377757500042208,137.79925405813606,0.5403892316005334,7.256933332731326,0.18505179998464882,0.16645439993590117,0.2130026000086218,0.014382002596764006,0.07760134196164037,0.166454399936;0.180469300016;0.203332999954;0.19472680008;0.185051799985;0.187226300011;0.206697900081;0.213002600009;0.173285200028;0.192388099968;0.175902200048;0.166943099932;0.177413500031;0.171444399981;0.185639600037,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,5,300000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,76500000,16,2.062544299988076,0.0053681000135838985,3.0910508999368176,25.837170999962837,29.09363079990726,137.05997922533788,0.5374901146091682,7.296075817696702,0.5581498000537977,0.497434200020507,0.6294870999408886,0.03234552730401271,0.05735722451796651,0.552320900024;0.549825599999;0.561917600106;0.558149800054;0.535192899988;0.542681499966;0.620575099951;0.553805300035;0.497434200021;0.553169899969;0.572858199943;0.572833399987;0.568933099974;0.589783100062;0.629487099941,30,15,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
