profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,syndrome,natural,4,1000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0387544999830425,0.0027930999640375376,0.008689900045283139,0.04883480002172291,0.06095010007265955,347.2222202608312,1.3616557657287498,2.880000016268562,0.0007344000041484833,0.000569900032132864,0.0008188000647351146,8.64175459201829e-05,0.12586912462475644,0.000744599965401;0.00073930004146;0.000734400004148;0.000752600026317;0.000772999948822;0.000753200030886;0.000760299968533;0.000818800064735;0.000682499958202;0.000609699985944;0.000598400016315;0.000584900029935;0.000569900032133;0.000585100031458;0.00059179996606,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,natural,4,1000,255,24,3072,L1,1792,1785.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.09283939993474633,0.0031398000428453088,0.011488899937830865,0.048895400017499924,0.064208900090307,343.0185835383338,1.3451709158366032,2.9152939461317717,0.0007433999562636018,0.0007319999858736992,0.00120749999769032,0.00012031648676607266,0.15401627522447364,0.000788099947385;0.00074070005212;0.000748299993575;0.000736200017855;0.000765000004321;0.000743399956264;0.000737500027753;0.000743599957787;0.000735400011763;0.000731999985874;0.000742499949411;0.000734100001864;0.00081980007235;0.00120749999769;0.000743799959309,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_511_484_r27,syndrome,natural,4,1000,511,27,8192,L1,3968,3960.25,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.5402650999603793,0.005497799953445792,0.028795500053092837,0.08323380001820624,0.1182937000412494,298.77799486378564,0.5846927492441989,3.346966701667253,0.0017102999845519662,0.0014875000342726707,0.0026504999259486794,0.00048298484190358905,0.246547465818752,0.00172319996636;0.00168139999732;0.00171029998455;0.00259639997967;0.00259540008847;0.00265049992595;0.00245440006256;0.0024851000635;0.00232740002684;0.00154129997827;0.00150729995221;0.00148750003427;0.00155689998064;0.00153030001093;0.00153749994934,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_1023_993_r30,syndrome,natural,4,1000,1023,30,16384,L1,8704,8695.5,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,3.293710199999623,0.012919900007545948,0.06094620004296303,0.20398150000255555,0.2798266999889165,199.17448269256516,0.19469646402010282,5.02072347060414,0.005136200110428035,0.003039100090973079,0.005438599968329072,0.0008150964632607345,0.1723722082936563,0.00494500005152;0.00543859996833;0.00522869999986;0.00529370002914;0.00515340000857;0.00524339999538;0.00513620011043;0.004815399996;0.00518460001331;0.00535750004929;0.00370409991592;0.00303910009097;0.00309309992008;0.0042206000071;0.00507710000966,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,5,1000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0387544999830425,0.004629500093869865,0.008457499905489385,0.04089649999514222,0.05493760004173964,359.4586738697343,1.4096418583126837,2.781960967124677,0.0007094000466167927,0.00056900002527982,0.0008631999371573329,7.601859805485078e-05,0.10978154761321016,0.000716399983503;0.00072100001853;0.000715099973604;0.000706000020728;0.000721100019291;0.000684099970385;0.000775699969381;0.000673500006087;0.00058180000633;0.00056900002528;0.000585000030696;0.000651299953461;0.000714199966751;0.000709400046617;0.000863199937157,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,natural,5,1000,255,24,4896,L1,1479,1479.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.09283939993474633,0.005239700083620846,0.013170199934393167,0.0330563000170514,0.052335700020194054,364.2336329257938,1.4283671879442896,2.7454905577150046,0.0007001000922173262,0.0006776999216526747,0.0008358999621123075,4.057205693411575e-05,0.05684006126093372,0.000735899899155;0.000700100092217;0.000677699921653;0.000759900081903;0.000713700079359;0.00072899996303;0.000684699974954;0.000683900085278;0.000835899962112;0.00069929996971;0.000696399947628;0.000714700086974;0.000686699990183;0.000688700005412;0.000700299977325,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_511_484_r27,syndrome,natural,5,1000,511,27,13184,L1,3296,3270.4,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.5402650999603793,0.005705000017769635,0.029185599996708333,0.07217820000369102,0.10802010004408658,345.2002748820138,0.6755386983992442,2.896869072140196,0.0014803000958636403,0.0014085000148043036,0.001701100030913949,8.012371007707414e-05,0.05326005093799267,0.00151839992031;0.00148930004798;0.00151129998267;0.00170110003091;0.00160689989571;0.0014613000676;0.00144589995034;0.00146639999002;0.00144440005533;0.00143559998833;0.0014085000148;0.00150149990804;0.00148030009586;0.00147109990939;0.00162380002439,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_1023_993_r30,syndrome,natural,5,1000,1023,30,26240,L1,7175,7161.0,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,3.293710199999623,0.011375000001862645,0.06091699993703514,0.17011109995655715,0.24420409998856485,231.8676301771307,0.22665457495320696,4.312805540109543,0.0044120000675320625,0.002682700054720044,0.004798900103196502,0.0008576988914676951,0.21769523066207816,0.00466109998524;0.00464509997983;0.00397439999506;0.00268270005472;0.0029165999731;0.00282559997868;0.00283479993232;0.00346979999449;0.00441200006753;0.00469719991088;0.0047989001032;0.00462950009387;0.00471879995894;0.00473799998872;0.00309410004411,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,natural,6,1000,255,16,5504,L1,946,935.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0387544999830425,0.00269810005556792,0.00828499998897314,0.03184999991208315,0.043447399977594614,403.67260573853605,1.5830298264256315,2.477255047244184,0.000631700037047267,0.0005135999526828527,0.0007363000186160207,5.087263438956794e-05,0.08145181968666,0.000513599952683;0.000608299975283;0.000736300018616;0.00053449999541;0.000648900051601;0.000636999960989;0.00061430002097;0.000609899987467;0.000630699913017;0.000634800060652;0.000643100007437;0.000660800025798;0.000635499949567;0.000631700037047;0.000629200018011,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,natural,6,1000,255,24,8256,L1,1290,1275.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.09283939993474633,0.0027254000306129456,0.011752899968996644,0.053975399932824075,0.06912420003209263,257.91444314924007,1.011429188820549,3.8772547507987305,0.0009886999614536762,0.0006080999737605453,0.01587250002194196,0.0038593086723388874,1.9944953934249103,0.000650699948892;0.00085059995763;0.00105169997551;0.0158725000219;0.000608099973761;0.000723600038327;0.000988699961454;0.00105130008887;0.00104969996028;0.00110479991417;0.00115210004151;0.000904900021851;0.000934500014409;0.0011049999157;0.000976499984972,30,15,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
