summary_kind,profile,batch_size,best_block_width,best_throughput_Mbit_s,best_cv,best_cache_level_fit,best_lut_table_bytes,predicted_l1_w,predicted_l2_w,predicted_l3_w,measurement_mode
multicode_batch1000,bch_1023_993_r30,1000,10,483.0940552660505,0.0430672477956613,L2,421888,5,11,16,
multicode_batch1000,bch_255_231_r24,1000,14,532.2479213536931,0.0112668004739552,L2,933888,8,14,18,
multicode_batch1000,bch_255_239_r16,1000,14,533.249650220914,0.0364380701817098,L2,622592,9,14,19,
multicode_batch1000,bch_511_484_r27,1000,14,529.1498290010006,0.2733454401314139,L3,2424832,6,12,17,
r16_batch_sweep,bch_255_239_r16,100,21,327.3427005003318,0.4361732618802877,DRAM,54525952,9,14,19,
r16_batch_sweep,bch_255_239_r16,1000,22,484.8830148887192,0.032465046130316,DRAM,100663296,9,14,19,
r16_batch_sweep,bch_255_239_r16,10000,12,454.9590479653178,0.189781046262974,L2,180224,9,14,19,
r16_batch_sweep,bch_255_239_r16,100000,18,222.4346741249633,0.0708312202659602,L3,7864320,9,14,19,
r16_batch_sweep,bch_255_239_r16,300000,24,210.30557808971605,0.0423399410455195,DRAM,369098752,9,14,19,
same_tier_control,bch_255_239_r16,1000,8,20.407836554871206,0.0190606383886332,L1,16384,9,14,19,cache_flushed_dram_proxy
same_tier_control,bch_255_239_r16,1000,16,687.8877265725567,0.0181283152615496,L3,2097152,9,14,19,natural
