snr_db,h,batch_blocks,max_blocks,window_blocks,total_blocks,emitted_blocks,measurement_blocks,warmup_blocks_total,discard_blocks_total,dropped_measurement_blocks,flush_blocks,total_bits,input_total_bits,pre_fec_errors,post_fec_errors,pre_fec_ber,post_fec_ber,elapsed_sec,avg_sec_per_input_block_3552bits,measurement_bits_per_sec,input_bits_per_sec,codec_init_sec,tx_gen_sec,channel_sec,decode_sec,flush_sec,batch_elapsed_sec,target_post_ber,min_post_errors,codec_mode,stop_reason,backend,block_width,external_backend_init_sec,common_table_init_sec,point_wall_sec
13.5,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,1019057,748351,0.012877495491233178,0.009456670851934523,98.83294860005844,0.0042629808747437214,800691.6835015201,960830.0202018241,22.700727800140157,15.112198303220794,39.63772139896173,499.56714130111504,0.0330796999623999,577.0566385994898,1e-09,200,batched,target_errors_reached,block_lut,14,0.01834660000167787,2.3983079999452457,98.85419980005827
13.55,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,988281,664632,0.012488589079483695,0.008398740780279502,97.99367410002742,0.004226780283817608,807549.2701623059,969059.1241947671,22.572127199848182,14.478616399690509,39.74600679904688,488.9176536996383,0.04166620003525168,565.7619322980754,1e-09,200,batched,target_errors_reached,block_lut,14,0.00828929990530014,0.0,98.00436959986109
13.6,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,959702,583598,0.01212744544998706,0.0073747401898938926,102.14568670000881,0.00440586985421018,774724.0491163409,929668.8589396091,23.55692080024164,15.100885399384424,39.863415999221615,519.288909299532,0.03294049995020032,597.8487954979064,1e-09,200,batched,target_errors_reached,block_lut,14,0.015011099982075393,0.0,102.1632845000131
13.65,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,930617,489459,0.011759907661264234,0.006185135930221273,91.11123649997171,0.003929918758625419,868550.6095620223,1042260.7314744267,20.791225200053304,13.364126399508677,38.151666098157875,462.0784044007305,0.02621509984601289,534.416995200445,1e-09,200,batched,target_errors_reached,block_lut,14,0.005469699972309172,0.0,91.11899239988998
13.7,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,901899,379039,0.011397007533482143,0.004789793910940735,90.84371669997927,0.003918379774843826,871108.3482124644,1045330.0178549571,20.782010099850595,13.165874501573853,37.47225559875369,461.51395100168884,0.022835299954749644,532.9622549002524,1e-09,200,batched,target_errors_reached,block_lut,14,0.009584099985659122,0.0,90.8556138999993
13.75,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,873022,231439,0.011032098173848344,0.0029246201919966358,84.20890069997404,0.0036321989604888734,939742.9409742241,1127691.529169069,23.04057990014553,11.542888698750176,36.043232099036686,420.736332200584,0.0263187998207286,491.3946190996794,1e-09,200,batched,target_errors_reached,block_lut,14,0.005551300011575222,2.346764800022356,84.21634890011046
13.8,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,845794,56183,0.01068802669675207,0.0007099664976384576,87.47713510005269,0.003773168353176876,904633.1925421313,1085559.8310505576,23.204864900093526,11.9308773962548,37.23365650186315,436.2827084950404,0.02409740025177598,508.68142169562634,1e-09,200,batched,target_errors_reached,block_lut,14,0.005988099961541593,0.0,87.48490309994668
13.85,16,16,500000,161,23184,19320,19320,2898,966,0,960,79134720,94961664,818849,1399,0.01034753139961827,1.767871295936853e-05,85.78542319999542,0.0037001994133883465,922472.8053798798,1106967.3664558558,23.12766539992299,11.662811600021087,35.92126950097736,429.19870439823717,0.025849400088191032,499.9415983010549,1e-09,200,batched,target_errors_reached,block_lut,14,0.0059920999919995666,0.0,85.7931007000152
13.9,16,16,500000,161,208656,173880,173880,26082,8694,0,8640,712212480,854654976,7130673,291,0.010012002317061336,4.085859321083506e-07,744.4663575000595,0.0035679125330690684,956675.1711811813,1148010.2054174177,23.486179200583138,107.10836699279025,333.2706911076093,3958.7687901000027,0.2439393998356536,4422.923515895731,1e-09,200,batched,target_errors_reached,block_lut,14,0.006909899995662272,0.0,744.4759777999716
13.95,16,16,500000,161,510048,425040,425040,63756,21252,0,21120,1740963840,2089156608,16868896,9,0.00968940055641822,5.169550218802936e-09,1770.1153208999895,0.0034704877205674555,983531.3097650792,1180237.5717180949,24.32909260049928,257.3282306921901,793.1596373014618,9466.070853190846,0.6264891003957018,10541.627140388126,1e-09,200,batched,max_blocks_reached,block_lut,14,0.005887500010430813,0.0,1770.123781900038
