profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,syndrome,natural,4,1000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.013405099976808,0.0027681998908519745,0.006705300067551434,0.0286305999616161,0.03872489999048412,381.10896794011336,1.4945449723141702,2.6239214611111903,0.0006690999725833535,0.0005635999841615558,0.0010430000256747007,0.00014047537525475502,0.1963958089526477,0.000563599984162;0.000814400031231;0.00104300002567;0.000815999926999;0.000669099972583;0.000659100012854;0.000655799987726;0.000694200047292;0.000669699977152;0.000990199972875;0.000679700053297;0.000630600028671;0.000621499959379;0.000611900002696;0.000610199989751,30,15,True,True,,psutil cpu_affinity set to 6,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,4,1000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.013405099976808,0.0022971000289544463,0.006354599958285689,0.5788127999985591,0.5946792999748141,19.89250257461591,0.0780098140181016,50.270195831270776,0.012818899936974049,0.012285200064070523,0.014663600013591349,0.0005495040673561319,0.04264300895752677,0.0127165999729;0.0127207000041;0.0129209000152;0.012818899937;0.0124484000262;0.0146636000136;0.0125447999453;0.0129116999451;0.0130337000592;0.0130451999139;0.0122852000641;0.0131289999699;0.0125816999935;0.01295080001;0.0125209999969,30,15,True,True,,psutil cpu_affinity set to 6,cpupower/intel_pstate unavailable on Windows,33554432,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_239_r16,syndrome,natural,5,1000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.013405099976808,0.002157099894247949,0.006423700018785894,0.027113000047393143,0.03635219996795058,435.2278266896067,1.706775790939634,2.29764720607622,0.0005859000375494361,0.0005653999978676438,0.0009163999930024147,8.673654995401598e-05,0.14190879940468815,0.000590799958445;0.000640299986117;0.000579199986532;0.000585900037549;0.000587599934079;0.000582600012422;0.000576100079343;0.000625299988315;0.000601699925028;0.000588200055063;0.000916399993002;0.000578999985009;0.000579799991101;0.000569900032133;0.000565399997868,30,15,True,True,,psutil cpu_affinity set to 6,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,5,1000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.013405099976808,0.002396999974735081,0.006534199928864837,0.5753451000200585,0.5909605999477208,20.177402961976327,0.07912707043912286,49.560391983272986,0.01263789995573461,0.012224100064486265,0.013547400012612343,0.0003262108511952927,0.025664849989605113,0.0126378999557;0.0127570000477;0.0131977999117;0.0135474000126;0.0124079999514;0.0124831000576;0.0127906999551;0.0127737999428;0.0122241000645;0.0125871999189;0.0125743000535;0.0128678999608;0.0125856000232;0.0124371999409;0.012784200022,30,15,True,True,,psutil cpu_affinity set to 6,cpupower/intel_pstate unavailable on Windows,33554432,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_239_r16,syndrome,natural,6,1000,255,16,5504,L1,946,935.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.013405099976808,0.0021997999865561724,0.006376600009389222,0.02318389993160963,0.032290900009684265,517.1365747116885,2.0279865674968174,1.9337251490237666,0.0004930999130010605,0.0004886999959126115,0.0008467999286949635,9.077944422779849e-05,0.17428315046651902,0.000501799979247;0.000500699970871;0.000520600005984;0.000508000026457;0.000493099913001;0.000494500040077;0.000489800004289;0.000488799996674;0.000491800019518;0.000489800004289;0.000490900012664;0.000488699995913;0.000846799928695;0.000518499989994;0.000489300000481,30,15,True,True,,psutil cpu_affinity set to 6,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,6,1000,255,16,5504,L1,946,935.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.013405099976808,0.0020782999927178025,0.007064800010994077,0.5789276000577956,0.5945428999839351,20.110093014008324,0.07886310985885617,49.72627422973221,0.012680199928581715,0.01236849999986589,0.01361910009291023,0.00034528298467025433,0.02693597957206154,0.0132616999326;0.0126059000613;0.0127843000228;0.0125121000456;0.0130413000006;0.0126654999331;0.0126765000168;0.0123684999999;0.0126801999286;0.0136191000929;0.0127296000719;0.0125441999407;0.0131898000836;0.0130789000541;0.0125222000061,30,15,True,True,,psutil cpu_affinity set to 6,cpupower/intel_pstate unavailable on Windows,33554432,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_239_r16,syndrome,natural,7,1000,255,16,9472,L1,851,837.8571428571429,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.013405099976808,0.0020736000733450055,0.006508299964480102,0.020878299954347312,0.02996110008098185,556.5255389506056,2.182453093923943,1.7968627313772838,0.00045819999650120735,0.00045279995538294315,0.00056900002527982,3.5673856814703425e-05,0.07513238357376768,0.000460999901406;0.000455899978988;0.000546100083739;0.000462000025436;0.000452799955383;0.000497399945743;0.00056900002528;0.000473699998111;0.000453599961475;0.000457699992694;0.000453900080174;0.000466899946332;0.000456099980511;0.000457899994217;0.000458199996501,30,15,True,True,,psutil cpu_affinity set to 6,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,7,1000,255,16,9472,L1,851,837.8571428571429,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.013405099976808,0.002341600018553436,0.0063087999587878585,0.5743752999696881,0.5894562000175938,20.28107190871316,0.07953361532828689,49.30705854705736,0.012573299929499626,0.012372400029562414,0.016938299988396466,0.0011362075684268201,0.08786486926398021,0.0124941999093;0.0133551000617;0.0169382999884;0.0127952999901;0.0125909999479;0.0129808000056;0.0127305999631;0.012422400061;0.0124995999504;0.0123724000296;0.0125302999513;0.0126504999353;0.0125531000085;0.0124827000545;0.0125732999295,30,15,True,True,,psutil cpu_affinity set to 6,cpupower/intel_pstate unavailable on Windows,33554432,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_239_r16,syndrome,natural,8,1000,255,16,16384,L1,768,765.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.013405099976808,0.002114600036293268,0.006353199947625399,0.01959859998896718,0.028596100048162043,593.9902038013819,2.329373348240713,1.6835294481293828,0.0004293000092729926,0.00041090010199695826,0.0005920999683439732,5.112221963904179e-05,0.11397302500185964,0.00054379994981;0.000436099944636;0.000410900101997;0.000419299933128;0.000419800053351;0.000426499987952;0.000420299940743;0.000419200048782;0.000422699959017;0.000592099968344;0.000465400051326;0.000443800003268;0.000429300009273;0.000439199968241;0.00043979997281,30,15,True,True,,psutil cpu_affinity set to 6,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,8,1000,255,16,16384,L1,768,765.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.013405099976808,0.0022492000134661794,0.006409200024791062,0.5762361000524834,0.5915296000894159,20.407836554871206,0.08003073158773022,49.00078444431225,0.012495200033299625,0.012142600025981665,0.012943000067025423,0.00023928598346118214,0.01906063838863322,0.0125810999889;0.0123611999443;0.0129352000076;0.012943000067;0.0125000999542;0.012473299983;0.0124461000087;0.0128512999509;0.0124952000333;0.0122611999977;0.0127089000307;0.0127581999404;0.0124081999529;0.0124433999881;0.012142600026,30,15,True,True,,psutil cpu_affinity set to 6,cpupower/intel_pstate unavailable on Windows,33554432,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
