dataset,raw_cv,norm_cv,count,task,backend,batch_size,profile,block_width
fig3,0.18407506101060667,0.29965503220194833,9,parity,PackedBatchGF2Kernel.apply_many,1.0,,
fig3,0.09518745355812278,0.18038521136075578,9,parity,PackedBatchGF2Kernel.apply_many,10.0,,
fig3,0.1012483964795014,0.2710653697277101,9,parity,PackedBatchGF2Kernel.apply_many,100.0,,
fig3,0.029370740042678832,0.21951216637566162,9,parity,PackedBatchGF2Kernel.apply_many,1000.0,,
fig3,0.03398585560062219,0.21539877889436923,9,parity,PackedBatchGF2Kernel.apply_many,10000.0,,
fig3,0.09568471399163614,0.25940594449569576,9,parity,PackedBatchGF2Kernel.apply_many,100000.0,,
fig3,0.2166208918510702,0.31995481259842956,9,parity,PackedBlockLUTKernel.apply_many_packed,1.0,,
fig3,0.13775082746942793,0.2186536018315264,9,parity,PackedBlockLUTKernel.apply_many_packed,10.0,,
fig3,0.18970296282113075,0.30375796998020643,9,parity,PackedBlockLUTKernel.apply_many_packed,100.0,,
fig3,0.07303173576337074,0.22037068095215992,9,parity,PackedBlockLUTKernel.apply_many_packed,1000.0,,
fig3,0.1176177741893341,0.2403676430446819,9,parity,PackedBlockLUTKernel.apply_many_packed,10000.0,,
fig3,0.12679264335290608,0.26595651629044276,9,parity,PackedBlockLUTKernel.apply_many_packed,100000.0,,
fig3,0.21874990083554643,0.3455076327045202,9,parity,galois_per_codeword,1.0,,
fig3,0.1709002216367108,0.17502624898706928,9,parity,galois_per_codeword,10.0,,
fig3,0.06759767366192541,0.19364180898969552,9,parity,galois_per_codeword,100.0,,
fig3,0.04290630069147272,0.2009283360321009,5,parity,galois_per_codeword,1000.0,,
fig3,0.1278884025159287,0.26913994588466794,9,syndrome,PackedBatchGF2Kernel.apply_many,1.0,,
fig3,0.18543701260363205,0.21946186670507586,9,syndrome,PackedBatchGF2Kernel.apply_many,10.0,,
fig3,0.10789053035925959,0.26319465216088794,9,syndrome,PackedBatchGF2Kernel.apply_many,100.0,,
fig3,0.089176382770347,0.25465430003158146,9,syndrome,PackedBatchGF2Kernel.apply_many,1000.0,,
fig3,0.06567312543219384,0.22987420982696108,9,syndrome,PackedBatchGF2Kernel.apply_many,10000.0,,
fig3,0.044733847589918656,0.21210144975558037,9,syndrome,PackedBatchGF2Kernel.apply_many,100000.0,,
fig3,0.2575992662179651,0.36862529024250557,9,syndrome,PackedBlockLUTKernel.apply_many_packed,1.0,,
fig3,0.22209870191872663,0.2597528543095802,9,syndrome,PackedBlockLUTKernel.apply_many_packed,10.0,,
fig3,0.2350450795410678,0.31696630940421044,9,syndrome,PackedBlockLUTKernel.apply_many_packed,100.0,,
fig3,0.19132671372686305,0.3222256011933622,9,syndrome,PackedBlockLUTKernel.apply_many_packed,1000.0,,
fig3,0.1389458353008771,0.2803336525774151,9,syndrome,PackedBlockLUTKernel.apply_many_packed,10000.0,,
fig3,0.03951806734578918,0.21410906779507338,9,syndrome,PackedBlockLUTKernel.apply_many_packed,100000.0,,
fig3,0.15246601390193823,0.28149459843682967,9,syndrome,galois_per_codeword,1.0,,
fig3,0.14886894557866076,0.27722762394060124,9,syndrome,galois_per_codeword,10.0,,
fig3,0.18605746559099348,0.28478566639512143,9,syndrome,galois_per_codeword,100.0,,
fig3,0.16139165977314385,0.2575232368199588,5,syndrome,galois_per_codeword,1000.0,,
fig4_width,0.02782431208912091,0.07038735430641026,3,syndrome,,,bch_1023_993_r30,4.0
fig4_width,0.052690925615423594,0.099960397225901,3,syndrome,,,bch_1023_993_r30,5.0
fig4_width,0.018238323204078085,0.08049621368816866,3,syndrome,,,bch_1023_993_r30,6.0
fig4_width,0.034677324973019556,0.1182916595316208,3,syndrome,,,bch_1023_993_r30,7.0
fig4_width,0.01549953186190547,0.10127327247771038,3,syndrome,,,bch_1023_993_r30,8.0
fig4_width,0.025968628074145392,0.07111527587999855,3,syndrome,,,bch_1023_993_r30,9.0
fig4_width,0.0598467281388561,0.09834744481461608,3,syndrome,,,bch_1023_993_r30,10.0
fig4_width,0.029901774590035197,0.06896012037929669,3,syndrome,,,bch_1023_993_r30,11.0
fig4_width,0.009651944469877678,0.09164348679886103,3,syndrome,,,bch_1023_993_r30,12.0
fig4_width,0.03392662104394122,0.11308108083106416,3,syndrome,,,bch_1023_993_r30,13.0
fig4_width,0.05330477236049888,0.054965167259697634,3,syndrome,,,bch_1023_993_r30,14.0
fig4_width,0.0675590141600319,0.037870707712204535,3,syndrome,,,bch_1023_993_r30,15.0
fig4_width,0.09330870295955979,0.10739162150809158,3,syndrome,,,bch_1023_993_r30,16.0
fig4_width,0.12467616974055977,0.09627564797995006,3,syndrome,,,bch_1023_993_r30,17.0
