profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_255_239_r16,syndrome,natural,4,1000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.0022483000066131353,0.007139699999243021,0.021407300024293363,0.03127500007394701,384.18076302674206,1.506591227555851,2.6029413657299445,0.0006637500482611358,0.0005919999675825238,0.0007179001113399863,5.2152042204819695e-05,0.0790961382203208,0.00071790011134;0.000654900097288;0.000672599999234;0.000591999967583,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,4,1000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.002226300071924925,0.008351899916306138,1.0036853000055999,1.0281665000366047,9.884985297267017,0.03876464822457654,101.16352932527661,0.025796699977945536,0.024698100052773952,0.037691099918447435,0.006194446585234843,0.21738218251543504,0.0376910999184;0.0266819000244;0.0249114999315;0.0246981000528,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_231_r24,syndrome,natural,4,1000,255,24,3072,L1,1792,1785.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.0022707999451085925,0.009117700043134391,0.019710099906660616,0.03166030009742826,442.66993590740447,1.7359605329702137,2.2590194609673584,0.0005760499625466764,0.0005716000450775027,0.0006226000841706991,2.4145764805626687e-05,0.041163984565312124,0.000574399949983;0.000571600045078;0.000577699975111;0.000622600084171,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,cache_flushed_dram_proxy,4,1000,255,24,3072,L1,1792,1785.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.0023367999820038676,0.008907200070098042,0.9110569000476971,0.9360471999971196,10.757224214478287,0.042185192997954056,92.96078431219155,0.023704999999608845,0.023621500004082918,0.02376789995469153,6.536995111783745e-05,0.002758243244020718,0.0237678999547;0.0236215000041;0.0236733999336;0.0237366000656,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_239_r16,syndrome,natural,5,1000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.002150899963453412,0.0065740999998524785,0.018568199942819774,0.027770800050348043,480.36171339416643,1.8837714250751623,2.08176457889232,0.0005308499676175416,0.0005292999558150768,0.0005327000981196761,1.8264780035511696e-06,0.0034401808407319304,0.000529299955815;0.000532299978659;0.000529399956577;0.00053270009812,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,5,1000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.00253649998921901,0.006208300008438528,0.8161913000512868,0.8374655999941751,10.636545078757687,0.041711941485324255,94.01549023630865,0.023973950010258704,0.02379620005376637,0.02405829995404929,0.0001197437084834554,0.004999612053478485,0.0237962000538;0.024058299954;0.0239170000423;0.0240308999782,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_231_r24,syndrome,natural,5,1000,255,24,4896,L1,1479,1479.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.0022638000082224607,0.009275600081309676,0.020705800037831068,0.03272399993147701,443.401137202164,1.7388279890280942,2.2552941706688965,0.0005751000135205686,0.0005714999279007316,0.0005787999834865332,3.112779731754754e-06,0.005412353514569125,0.000573999946937;0.000578799983487;0.000576200080104;0.000571499927901,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_231_r24,syndrome,cache_flushed_dram_proxy,5,1000,255,24,4896,L1,1479,1479.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08163749997038394,0.00248030002694577,0.009683099924586713,0.9667603999841958,0.991727799992077,10.682440379841397,0.04189192305820155,93.61156855947247,0.02387094998266548,0.023450199980288744,0.0317988001042977,0.004043916473686092,0.15705917597481314,0.0317988001043;0.0234501999803;0.0236248999136;0.0241170000518,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
bch_255_239_r16,syndrome,natural,6,1000,255,16,5504,L1,946,935.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.002059000078588724,0.0061926000053063035,0.016230300068855286,0.024927099933847785,544.2321858749249,2.134243866176176,1.837451047464913,0.0004685500171035528,0.0004597000079229474,0.00048550008796155453,1.0854024464556579e-05,0.023065449108858823,0.00046710006427;0.000485500087962;0.000469999969937;0.000459700007923,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement
bch_255_239_r16,syndrome,cache_flushed_dram_proxy,6,1000,255,16,5504,L1,946,935.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.004777800058946,0.0020624001044780016,0.006368999951519072,0.8309017000719905,0.851700900006108,9.90675990219331,0.03885003883213063,100.94117651711784,0.02574000001186505,0.023205899982713163,0.037609799997881055,0.006579492484349541,0.23436311396059423,0.0232058999827;0.0242662000237;0.0272138;0.0376097999979,30,4,True,True,,psutil cpu_affinity set to 8,cpupower/intel_pstate unavailable on Windows,67108864,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,cache-flushed DRAM proxy
