profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter
bch_255_239_r16,syndrome,natural,4,1000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0025131000438705087,0.007796899997629225,0.022070799954235554,0.03292240004520863,381.27992123862566,1.495215377406375,2.6227449815647277,0.0006687999702990055,0.0006603000219911337,0.0006899000145494938,1.192658556636819e-05,0.017781235399442517,0.000661599915475;0.000673100003041;0.000660300021991;0.000668799970299;0.000689900014549,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,367.99928725502474,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,4,1000,255,24,3072,L1,1792,1785.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08800960006192327,0.0026771000120788813,0.010104999993927777,0.02467029995750636,0.037999400054104626,375.71825966738527,1.4734049398720994,2.6615688065979994,0.0006787000456824899,0.0006646999390795827,0.0007406999357044697,3.126326270089832e-05,0.045334043666774765,0.000740699935704;0.000696900067851;0.00066469993908;0.000678700045682;0.000667099957354,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,362.63134790085866,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,5,1000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0023588000331074,0.007472599972970784,0.02184639999177307,0.032217999920248985,386.7738426201905,1.516760167138002,2.585490252457413,0.0006593000143766403,0.0006499000592157245,0.0006705999840050936,7.538335119627002e-06,0.011418605751177978,0.000649900059216;0.000662999926135;0.000670599984005;0.000658100005239;0.000659300014377,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,373.3018459265727,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,5,1000,255,24,4896,L1,1479,1479.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08800960006192327,0.0026357000460848212,0.009707999997772276,0.022596700000576675,0.03546099993400276,409.04717789191903,1.6041065799683096,2.444705779792047,0.000623399973846972,0.0006174999289214611,0.0006342999404296279,6.281956555393695e-06,0.010067883799872931,0.000620999955572;0.00063429994043;0.000623600091785;0.000617499928921;0.000623399973847,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,394.79936270679264,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,6,1000,255,16,5504,L1,946,935.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0023184999590739608,0.00711749994661659,0.018695099977776408,0.028631599969230592,462.5430741880016,1.813894408580398,2.161960811445526,0.0005513000069186091,0.000548599986359477,0.0005746000679209828,1.086060384867876e-05,0.019539786173351135,0.000574600067921;0.000548999989405;0.000551300006919;0.000555599923246;0.000548599986359,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,446.43190512883706,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,6,1000,255,24,8256,L1,1290,1275.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08800960006192327,0.0025024000788107514,0.009788599913008511,0.019272799952887,0.032118999981321394,452.127669829627,1.7730496856063804,2.2117646557151103,0.0005639999872073531,0.000530300079844892,0.0006129000103101134,3.96645501401185e-05,0.06966515001062049,0.000563999987207;0.000607499969192;0.00061290001031;0.000532099977136;0.000530300079845,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,436.3792871784785,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,7,1000,255,16,9472,L1,851,837.8571428571429,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0022544999374076724,0.006662200088612735,0.016934200073592365,0.026362299919128418,516.7172912385622,2.026342318582597,1.9352942449497241,0.0004935000324621797,0.00048749998677521944,0.0005344999954104424,1.9216967271577966e-05,0.038294542204082314,0.00053449999541;0.000487499986775;0.000503299990669;0.000493500032462;0.000490300008096,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,498.71914122939285,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,7,1000,255,24,14208,L1,1147,1129.2857142857144,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08800960006192327,0.002444799989461899,0.009782599983736873,0.017700200085528195,0.03044689993839711,520.1958306501447,2.0399836496084105,1.9223529699386335,0.0004902000073343515,0.0004876999882981181,0.0005010999739170074,5.564794971151482e-06,0.011310099172377906,0.000490200007334;0.000501099973917;0.000487699988298;0.000493300030939;0.00048779998906,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,502.07651714363533,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,8,1000,255,16,16384,L1,768,765.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0022142999805510044,0.007719699991866946,0.022637999965809286,0.03308149997610599,575.2312210924711,2.255808710166553,1.7384313704336392,0.00044329999946057796,0.0004417999880388379,0.00045229995157569647,4.198552275823952e-06,0.009435797333106505,0.000441799988039;0.000452299951576;0.000443099997938;0.000444300007075;0.000443299999461,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,555.1949304888341,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,8,1000,255,24,24576,L1,1024,1020.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08800960006192327,0.002370900008827448,0.009203900001011789,0.017171400017105043,0.029216599999926984,541.2863760113752,2.122691670632844,1.84745089534451,0.00047109997831285,0.00046229991130530834,0.00048239994794130325,7.569029203639708e-06,0.016008945312178707,0.000477300025523;0.000482399947941;0.000471099978313;0.000470900093205;0.000462299911305,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053525,101.46200191229582,100.80700158141553,522.4324426157641,throughput scaled by row_probe/reference_probe,104.44500017911196
