profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter
bch_255_239_r16,syndrome,natural,4,1000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.0024299999931827188,0.006953299976885319,0.02127569995354861,0.03121879999525845,386.97931253209833,1.517565931498425,2.584117464721203,0.0006589499535039067,0.0006430000066757202,0.0007036000024527311,2.6092839506077512e-05,0.03917108699919074,0.000703600002453;0.00065849989187;0.000659400015138;0.000643000006676,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,386.97931253209833,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,4,1000,255,24,3072,L1,1792,1785.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.0027271000435575843,0.009343999903649092,0.025045600021257997,0.03763229993637651,407.4784327424329,1.5979546382056191,2.4541176161637495,0.0006257999921217561,0.0006234999746084213,0.0006361000705510378,5.870308747662347e-06,0.009350603184021134,0.000636100070551;0.000623499974608;0.000623799976893;0.000627800007351,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,407.4784327424329,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,5,1000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.0024904999881982803,0.007027100073173642,0.020394899998791516,0.03042039996944368,427.7088228559869,1.6772895013960272,2.3380392139741017,0.000596199999563396,0.000587899936363101,0.0007914999732747674,9.918173160158353e-05,0.1542604170154505,0.000587899936363;0.000591600080952;0.000600799918175;0.000791499973275,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,427.7088228559869,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,5,1000,255,24,4896,L1,1479,1479.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.0024782000109553337,0.009704899974167347,0.02160169999115169,0.034295600024051964,430.1982479782964,1.6870519528560644,2.32450969918978,0.0005927499732933939,0.0005910999607294798,0.000606600078754127,7.261368303800001e-06,0.012187593733202575,0.000592099968344;0.000606600078754;0.000591099960729;0.000593399978243,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,430.1982479782964,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,6,1000,255,16,5504,L1,946,935.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.0022201999090611935,0.0066318000899627805,0.018870099913328886,0.028220499982126057,465.583365969443,1.8258171214487957,2.1478430568879725,0.000547699979506433,0.0005172000965103507,0.0015059999423101544,0.0004847887510080474,0.6218030543767735,0.00051720009651;0.00150599994231;0.000570000032894;0.000525399926119,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,465.583365969443,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,6,1000,255,24,8256,L1,1290,1275.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.002340500010177493,0.009654500056058168,0.01861339993774891,0.031197499949485064,469.3539444576997,1.840603703755685,2.1305882518051886,0.0005433000042103231,0.0005119999404996634,0.0005499999970197678,1.7750987947672694e-05,0.033046613412076764,0.00054929999169;0.000537300016731;0.00054999999702;0.0005119999405,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,469.3539444576997,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,7,1000,255,16,9472,L1,851,837.8571428571429,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.002572599914856255,0.006561300018802285,0.016526599996723235,0.026151199941523373,518.239993697177,2.0323137007732432,1.9296079271418207,0.0004920500214211643,0.00048559997230768204,0.0004987999564036727,5.536164319766693e-06,0.011249508559346637,0.000493600033224;0.000485599972308;0.000490500009619;0.000498799956404,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,518.239993697177,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,7,1000,255,24,14208,L1,1147,1129.2857142857144,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.0023732000263407826,0.009161200025118887,0.01695840002503246,0.028998999972827733,529.5400913602318,2.076627809255811,1.888431143015623,0.0004815499414689839,0.00048019993118941784,0.0004857000894844532,2.5645729827175127e-06,0.005317932837457656,0.000482699950226;0.000480399932712;0.000485700089484;0.000480199931189,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,529.5400913602318,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_239_r16,syndrome,natural,8,1000,255,16,16384,L1,768,765.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.0440262000774965,0.002354099997319281,0.006543600000441074,0.02125340001657605,0.03063379996456206,346.67932206737635,1.3595267532053976,2.8845100827953396,0.0007355500711128116,0.00047209998592734337,0.0009852000512182713,0.0002702389505108252,0.3691284441443365,0.000944600091316;0.000985200051218;0.00052650005091;0.000472099985927,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,346.67932206737635,throughput scaled by row_probe/reference_probe,104.03400054201484
bch_255_231_r24,syndrome,natural,8,1000,255,24,24576,L1,1024,1020.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.08473640005104244,0.002356500015594065,0.009479600004851818,0.016151799936778843,0.028480299981310964,544.6390263482277,2.135839319012658,1.8360784879940397,0.00046820001443848014,0.00046449992805719376,0.000520200002938509,2.6751760562082415e-05,0.05570092368094289,0.000464499928057;0.000520200002939;0.000470700091682;0.000465699937195,30,4,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,97.99200110137463,110.07599998265505,104.03400054201484,544.6390263482277,throughput scaled by row_probe/reference_probe,104.03400054201484
