profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter
bch_511_484_r27,syndrome,natural,4,1000,511,27,8192,L1,3968,3960.25,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.004677499993704259,0.020867699990049005,0.04179279995150864,0.06811180000659078,427.9373543540607,0.8374507912995317,2.3367906302767723,0.0011941000120714307,0.001181500032544136,0.0012022999580949545,9.438206519651075e-06,0.007911321450473496,0.00118929997552;0.00119890004862;0.00120229995809;0.00118150003254,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,369.1812914735321,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,4,1000,1023,30,16384,L1,8704,8695.5,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.009298999910242856,0.04485700000077486,0.08345050003845245,0.13902250002138317,429.6153147656959,0.41995631941905764,2.3276637625113086,0.0023812000290490687,0.002322699991054833,0.00330400001257658,0.0004720050300746282,0.18173086302762975,0.00238950003404;0.00237290002406;0.00330400001258;0.00232269999105,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,370.62886688499395,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,5,1000,511,27,13184,L1,3296,3270.4,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.004328500013798475,0.01986240001861006,0.04252400004770607,0.06751630001235753,458.6661701708555,0.8975854602169383,2.180234918192233,0.0011141000431962311,0.0010945999529212713,0.001210999907925725,5.2895608106617864e-05,0.0466677918939277,0.00121099990793;0.00110630004201;0.00109459995292;0.00112190004438,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,395.6910219125126,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,5,1000,1023,30,26240,L1,7175,7161.0,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.009356700000353158,0.04484919994138181,0.08239270001649857,0.1379810000071302,451.08802715346206,0.44094626310211343,2.2168622082709275,0.002267850039061159,0.0021823999704793096,0.006861699977889657,0.002312297618221887,0.6810991660292756,0.00219430006109;0.00686169997789;0.00234140001703;0.00218239997048,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,389.1533626087218,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,6,1000,511,27,22016,L1,2838,2810.5,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.0047064999816939235,0.020429100026376545,0.034248100011609495,0.06020760000683367,519.6786137510725,1.016983588553958,1.9242662167333344,0.0009833000367507339,0.0009708999423310161,0.0010325000621378422,2.772163517396317e-05,0.027931118014623252,0.00103250006214;0.000970899942331;0.000977399991825;0.000989200081676,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,448.326419331604,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,6,1000,1023,30,43776,L2,6156,6138.0,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.0089297000085935,0.04522749991156161,0.06646969995927066,0.12203410000074655,531.3181696913852,0.5193725998938271,1.8821114297311676,0.0019253999926149845,0.001871699932962656,0.001974300015717745,4.2453609236677805e-05,0.02206299220518218,0.0019336999394;0.00197430001572;0.00191710004583;0.00187169993296,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,458.36785705724776,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,7,1000,511,27,37376,L2,2482,2482.0,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.004266700008884072,0.02058959996793419,0.03084130003117025,0.05647910002153367,564.1421768677442,1.1039964322265055,1.7726027958984478,0.0009058000287041068,0.0008986999746412039,0.0009230000432580709,1.1339164540885116e-05,0.012483598167900267,0.000911500072107;0.000898699974641;0.000923000043258;0.000900099985301,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,486.68510778894876,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,7,1000,1023,30,75264,L2,5439,5407.285714285714,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.008924299967475235,0.04431919998023659,0.06631050002761185,0.12099980004131794,507.23917865067267,0.4958349742430818,1.9714565476983466,0.0020168000482954085,0.0018659000052139163,0.0024834999348968267,0.0002937488892088683,0.14016408823705506,0.00186980003491;0.00186590000521;0.0024834999349;0.00216380006168,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,437.5949263482474,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_511_484_r27,syndrome,natural,8,1000,511,27,65536,L2,2240,2235.625,6,12,17,PackedBlockLUTKernel.apply_many_packed,511000,32,1.969552000053227,0.004262399976141751,0.021628699963912368,0.029932299978099763,0.05658089998178184,585.170331512304,1.1451474197892446,1.708904136365932,0.0008732500136829913,0.0008715000003576279,0.0008774999296292663,2.6461907160300823e-06,0.0030281112840110326,0.000871500000358;0.000877499929629;0.000874100020155;0.000872400007211,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,504.8260838219985,throughput scaled by row_probe/reference_probe,101.68200125917792
bch_1023_993_r30,syndrome,natural,8,1000,1023,30,131072,L2,4864,4859.25,5,11,16,PackedBlockLUTKernel.apply_many_packed,1023000,32,1.3068214999511838,0.009011699934490025,0.04473590000998229,0.061078400001861155,0.11620150005910546,580.7880206831182,0.5677302254966942,1.7217985984349473,0.001761399966198951,0.0017015000339597464,0.0019129000138491392,9.30145595408966e-05,0.05212944000383841,0.00191290001385;0.00178890000097;0.00173389993142;0.00170150003396,30,4,True,True,,psutil cpu_affinity set to 4,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,88.22200121358037,87.21999824047089,87.72099972702563,501.04546697447125,throughput scaled by row_probe/reference_probe,101.68200125917792
