profile,task,measurement_mode,block_width,batch_size,input_width,output_width,lut_table_bytes,cache_level_fit,theoretical_ops,theoretical_continuous_ops,predicted_l1_w,predicted_l2_w,predicted_l3_w,backend,processed_bits,packed_word_bits,build_init_s,kernel_build_s,exactness_elapsed_s,timing_elapsed_s,elapsed_s,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,samples_s,warmups,repeats,correctness_passed,timed,skip_reason,affinity_status,frequency_lock_status,cache_flush_bytes,measurement_order,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,round_index,probe_iterations,probe_before_ns_per_iter,probe_after_ns_per_iter,probe_ns_per_iter,throughput_norm_Mbit_s,normalization_note,normalization_reference_probe_ns_per_iter
bch_255_239_r16,syndrome,natural,4,1000,255,16,2048,L1,1280,1275.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0025131000438705,0.0077968999976292,0.0220707999542355,0.0329224000452086,381.27992123862566,1.495215377406375,2.622744981564728,0.000668799970299,0.0006603000219911,0.0006899000145494,1.192658556636819e-05,0.0177812353994425,0.000661599915475;0.000673100003041;0.000660300021991;0.000668799970299;0.000689900014549,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,367.9992872550248,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,4,1000,255,24,3072,L1,1792,1785.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0026771000120788,0.0101049999939277,0.0246702999575063,0.0379994000541046,375.71825966738527,1.4734049398720994,2.6615688065979994,0.0006787000456824,0.0006646999390795,0.0007406999357044,3.126326270089832e-05,0.0453340436667747,0.000740699935704;0.000696900067851;0.00066469993908;0.000678700045682;0.000667099957354,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,362.63134790085866,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,5,1000,255,16,3264,L1,1071,1071.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0023588000331074,0.0074725999729707,0.021846399991773,0.0322179999202489,386.7738426201905,1.516760167138002,2.585490252457413,0.0006593000143766,0.0006499000592157,0.000670599984005,7.538335119627002e-06,0.0114186057511779,0.000649900059216;0.000662999926135;0.000670599984005;0.000658100005239;0.000659300014377,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,373.3018459265727,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,5,1000,255,24,4896,L1,1479,1479.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0026357000460848,0.0097079999977722,0.0225967000005766,0.0354609999340027,409.04717789191903,1.6041065799683096,2.444705779792047,0.0006233999738469,0.0006174999289214,0.0006342999404296,6.281956555393695e-06,0.0100678837998729,0.000620999955572;0.00063429994043;0.000623600091785;0.000617499928921;0.000623399973847,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,394.79936270679264,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,6,1000,255,16,5504,L1,946,935.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0023184999590739,0.0071174999466165,0.0186950999777764,0.0286315999692305,462.5430741880016,1.813894408580398,2.161960811445526,0.0005513000069186,0.0005485999863594,0.0005746000679209,1.086060384867876e-05,0.0195397861733511,0.000574600067921;0.000548999989405;0.000551300006919;0.000555599923246;0.000548599986359,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,446.43190512883706,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,6,1000,255,24,8256,L1,1290,1275.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0025024000788107,0.0097885999130085,0.019272799952887,0.0321189999813213,452.127669829627,1.7730496856063804,2.2117646557151103,0.0005639999872073,0.0005303000798448,0.0006129000103101,3.96645501401185e-05,0.0696651500106204,0.000563999987207;0.000607499969192;0.00061290001031;0.000532099977136;0.000530300079845,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,436.3792871784785,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,7,1000,255,16,9472,L1,851,837.8571428571429,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.0022544999374076,0.0066622000886127,0.0169342000735923,0.0263622999191284,516.7172912385622,2.026342318582597,1.935294244949724,0.0004935000324621,0.0004874999867752,0.0005344999954104,1.921696727157797e-05,0.0382945422040823,0.00053449999541;0.000487499986775;0.000503299990669;0.000493500032462;0.000490300008096,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,498.7191412293929,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,7,1000,255,24,14208,L1,1147,1129.2857142857144,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0024447999894618,0.0097825999837368,0.0177002000855281,0.0304468999383971,520.1958306501447,2.0399836496084105,1.9223529699386332,0.0004902000073343,0.0004876999882981,0.000501099973917,5.564794971151482e-06,0.0113100991723779,0.000490200007334;0.000501099973917;0.000487699988298;0.000493300030939;0.00048779998906,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,502.0765171436353,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_239_r16,syndrome,natural,8,1000,255,16,16384,L1,768,765.0,9,14,19,PackedBlockLUTKernel.apply_many_packed,255000,16,2.1546928000170738,0.002214299980551,0.0077196999918669,0.0226379999658092,0.0330814999761059,575.2312210924711,2.255808710166553,1.7384313704336392,0.0004432999994605,0.0004417999880388,0.0004522999515756,4.198552275823952e-06,0.0094357973331065,0.000441799988039;0.000452299951576;0.000443099997938;0.000444300007075;0.000443299999461,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,555.1949304888341,throughput scaled by row_probe/reference_probe,104.44500017911196
bch_255_231_r24,syndrome,natural,8,1000,255,24,24576,L1,1024,1020.0,8,14,18,PackedBlockLUTKernel.apply_many_packed,255000,32,0.0880096000619232,0.0023709000088274,0.0092039000010117,0.017171400017105,0.0292165999999269,541.2863760113752,2.122691670632844,1.84745089534451,0.0004710999783128,0.0004622999113053,0.0004823999479413,7.569029203639708e-06,0.0160089453121787,0.000477300025523;0.000482399947941;0.000471099978313;0.000470900093205;0.000462299911305,30,5,True,True,,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,0,interleaved_by_width,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,natural placement,0,50000,100.15200125053524,101.46200191229582,100.80700158141552,522.4324426157641,throughput scaled by row_probe/reference_probe,104.44500017911196
