index,profile,task,block_width,throughput_median_Mbit_s,throughput_min_Mbit_s,throughput_max_Mbit_s,throughput_std_Mbit_s,round_count,cache_level_fit,theoretical_ops,throughput_cv
0,bch_1023_993_r30,syndrome,4,410.0940018011462,370.628866884994,426.8513891824706,28.86543180371094,3,L1,8704,0.0703873543064103
1,bch_1023_993_r30,syndrome,5,409.0772850236079,389.1533626087218,467.8076024974262,40.89152790705297,3,L1,7175,0.099960397225901
2,bch_1023_993_r30,syndrome,6,513.2578973054101,458.36785705724776,539.3028665387658,41.315317378636415,3,L2,6156,0.08049621368816866
3,bch_1023_993_r30,syndrome,7,543.4262904331281,437.5949263482474,553.729482418461,64.28279772844728,3,L2,5439,0.11829165953162081
4,bch_1023_993_r30,syndrome,8,573.0771475119298,501.04546697447125,615.8876764834515,58.03739811072467,3,L2,4864,0.10127327247771035
5,bch_1023_993_r30,syndrome,9,591.7912795227393,523.6236339532154,600.4675056100025,42.08540010663693,3,L2,4446,0.07111527587999854
6,bch_1023_993_r30,syndrome,10,539.0168034935269,521.7045429050321,620.9459304977946,53.0109253357304,3,L2,4120,0.09834744481461608
7,bch_1023_993_r30,syndrome,11,581.2499954601993,513.2248604623138,583.971515344364,40.08306965740103,3,L2,3813,0.06896012037929675
8,bch_1023_993_r30,syndrome,12,594.4218450621657,522.1675567188494,628.9136038169005,54.474890510909205,3,L3,3612,0.09164348679886103
9,bch_1023_993_r30,syndrome,13,576.2406497891222,511.98925811181766,642.3088676841716,65.1619154969487,3,L3,3397,0.1130810808310642
10,bch_1023_993_r30,syndrome,14,626.8574519960935,595.5472525654926,664.3649496461345,34.455324696953156,3,L3,3256,0.054965167259697634
11,bch_1023_993_r30,syndrome,15,569.6788159167342,539.1377037924175,580.8044886284139,21.5741399274174,3,L3,3105,0.037870707712204514
12,bch_1023_993_r30,syndrome,16,502.5862625239281,483.09406854512815,584.788380693971,53.973553680136035,3,L3,2944,0.10739162150809158
13,bch_1023_993_r30,syndrome,17,507.16400868632576,455.8722005917906,553.4851099231649,48.82754356838502,3,DRAM,2867,0.09627564797995003
14,bch_1023_993_r30,syndrome,18,533.5489115646102,523.0340336863276,557.960848248678,17.91827598168482,3,DRAM,2736,0.03358319283070078
15,bch_1023_993_r30,syndrome,19,507.6797013703967,436.29695391556265,546.6871752396598,55.98077142472676,3,DRAM,2646,0.11026789385830477
16,bch_1023_993_r30,syndrome,20,566.8399623302643,536.8990973239004,649.7507074787112,58.461002632714404,3,DRAM,2600,0.10313493493363232
17,bch_255_231_r24,syndrome,4,372.52740824188464,356.0901946692087,409.4190606953754,22.199153958537828,6,L1,1792,0.05959065955255502
18,bch_255_231_r24,syndrome,5,394.5258824793081,206.7791178697619,418.60053817937774,79.0523880490184,6,L1,1479,0.20037313534978152
19,bch_255_231_r24,syndrome,6,456.54443757771145,436.3792871784785,503.4726765860407,25.08636810686294,6,L1,1290,0.05494835998870936
20,bch_255_231_r24,syndrome,7,494.993458351295,464.5464088925924,502.0765171436353,14.973720016844908,6,L1,1147,0.030250339199873053
21,bch_255_231_r24,syndrome,8,524.6396335888908,476.3514753345489,563.7819140592492,29.6996885761568,6,L1,1024,0.05660969296770584
22,bch_255_231_r24,syndrome,9,530.3840779932373,484.6841105243441,579.9885497960697,36.306704351303715,6,L2,957,0.06845360910658153
23,bch_255_231_r24,syndrome,10,549.5688482585224,496.06119384845846,560.5054215759894,29.155693654028077,6,L2,884,0.05305194016439768
24,bch_255_231_r24,syndrome,11,555.1292371956588,502.0535235921315,592.6408122843325,35.443823361606775,6,L2,840,0.06384787719100872
25,bch_255_231_r24,syndrome,12,550.4415718628743,512.0916547754849,615.2301218961544,38.53702252815033,6,L2,792,0.07001110471676121
26,bch_255_231_r24,syndrome,13,558.4406701259024,535.1091838716756,579.6465561837431,15.858511474722519,6,L2,740,0.028397844790113803
27,bch_255_231_r24,syndrome,14,567.1618716386325,505.9725799118998,616.197254953389,38.80192611508139,6,L2,722,0.06841420069895682
28,bch_255_231_r24,syndrome,15,531.3906403166345,334.3209056311149,559.7566457389058,83.46113126481644,6,L3,663,0.15706172621912437
29,bch_255_231_r24,syndrome,16,548.5272688026365,498.04267976802026,615.7823972849571,38.62996370321385,6,L3,640,0.07042487383997886
30,bch_255_231_r24,syndrome,17,538.2665908626252,400.7129669297061,596.6354447633985,65.30635486454328,6,L3,615,0.12132715641868728
31,bch_255_231_r24,syndrome,18,546.845093368888,499.6081066842324,601.342663787715,40.37020268294597,6,L3,630,0.073823836352342
32,bch_255_231_r24,syndrome,19,554.9960897115011,540.7995255692044,608.679264085774,24.829074577726104,6,DRAM,602,0.04473738651137667
33,bch_255_231_r24,syndrome,20,582.0164677583984,477.1575638274723,593.0233962255977,48.66234735316215,6,DRAM,572,0.08360991492316748
34,bch_255_231_r24,syndrome,21,542.2170056906696,510.69006531909554,600.2902074178537,31.8653726634418,6,DRAM,585,0.058768670714877465
35,bch_255_231_r24,syndrome,22,578.4850625752531,525.7328456029591,627.1832565021485,35.8639771586735,6,DRAM,552,0.06199637549674514
36,bch_255_231_r24,syndrome,23,525.6139293250715,418.1699008847031,565.8746122757518,49.90485774764039,6,DRAM,564,0.09494584325746856
37,bch_255_239_r16,syndrome,4,377.77136352381115,363.05894501211736,412.99311364662873,18.042970937295795,6,L1,1280,0.047761616362322644
