task,mode,batch_size,direct_median_Mbit_s,lut_median_Mbit_s,lut_vs_direct_median,direct_min_Mbit_s,lut_min_Mbit_s,lut_vs_direct_min,direct_cv,lut_cv
parity,bulk,10,34.22544989828113,54.03949488772989,1.578927232464046,33.661991481803945,51.843815783189726,1.540129193224174,0.023282397653896465,0.057460921400376626
parity,bulk,30,37.47165269601177,151.61581950485302,4.046147116457182,35.97591495235325,142.82892258748555,3.970126201839457,0.056450475243125665,0.08196076657632459
parity,bulk,100,39.11418793920936,297.7896160216362,7.613340112913914,36.73531759742848,279.8592612796678,7.618261650724325,0.08601049587689942,0.08515189748056912
parity,bulk,300,19.07663215081167,432.3720502872885,22.66500957135099,18.711832769239447,427.5492042151094,22.84913559712662,0.027043779472510503,0.01577468830369949
parity,bulk,500,28.666554902213587,512.0813721717769,17.863373325416052,17.98506994615257,502.1007010567867,27.917639606633713,0.5269520855461853,0.027563588951776703
parity,bulk,700,18.524812125820194,534.3934454638988,28.84744211354523,16.549936651394948,528.7611212671758,31.94943475645316,0.15076512846450946,0.014905327403058504
parity,bulk,1000,23.093178589134496,546.8459223025443,23.679976326855204,17.357832724381467,538.6522394634558,31.03222896639881,0.35122942801171897,0.021189912778414737
parity,bulk,1500,16.355029424808997,559.1124690592011,34.18596534048918,16.059957167030177,553.9246648215052,34.491042476667914,0.025514792911216923,0.013121980849812387
parity,bulk,2000,17.1764975106801,570.4377428169955,33.21036447985426,15.708285935354404,562.8827482922919,35.83349262986232,0.12088405805477598,0.01873013462911413
parity,bulk,3000,18.241825265444263,379.689034484996,20.81420192113374,17.970104923975438,220.9280885694851,12.294201369671818,0.021065358673607818,0.5913309642809009
parity,bulk,5000,17.40360643814247,254.90147478000944,14.64647432048088,16.81653790521443,252.36525993582453,15.006968815951808,0.04770507102997461,0.014071120745118527
parity,bulk,7000,17.93653005291946,222.13374458631114,12.384432436537818,17.79800487201007,212.6334531209124,11.947038707428899,0.010922078517653951,0.06048356615914272
parity,bulk,10000,17.903997649708224,122.66086943532693,6.851032480856357,17.771062603486808,121.19491092424111,6.819789768815615,0.01050036695486744,0.016901709712296886
parity,bulk,30000,17.346741410709896,124.73698488766183,7.190802118641665,17.341652810467384,124.5025109392049,7.17939127832472,0.00041485413923428283,0.0026583634214792148
parity,bulk,100000,17.341979701342915,109.45332500771292,6.3114665622193735,17.21899784218912,104.94534055633184,6.094741489495984,0.010028994159627847,0.0582463141221238
