index,profile,task,mode,backend,batch_size,throughput_median_Mbit_s,throughput_min_Mbit_s,throughput_max_Mbit_s,throughput_std_Mbit_s,round_count,throughput_cv
0,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,10,34.22544989828113,33.661991481803945,34.7889083147583,0.7968505344152915,2,0.023282397653896465
1,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,30,37.47165269601177,35.97591495235325,38.9673904396703,2.1152926028352157,2,0.056450475243125665
2,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,100,39.11418793920936,36.73531759742848,41.49305828099023,3.3642307004736356,2,0.08601049587689942
3,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,300,19.07663215081167,18.711832769239447,19.44143153238389,0.5159042329647545,2,0.027043779472510503
4,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,500,28.666554902213587,17.98506994615257,39.3480398582746,15.105900891145673,2,0.5269520855461853
5,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,700,18.524812125820194,16.549936651394948,20.49968760024544,2.7928956799301843,2,0.15076512846450946
6,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,1000,23.093178589134496,17.357832724381467,28.82852445388753,8.111003906834185,2,0.35122942801171897
7,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,1500,16.355029424808997,16.059957167030177,16.65010168258782,0.4172951888308608,2,0.025514792911216923
8,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,2000,17.1764975106801,15.708285935354404,18.6447090860058,2.0763647222587682,2,0.12088405805477598
9,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,3000,18.241825265444263,17.970104923975438,18.51354560691309,0.3842705920778645,2,0.021065358673607818
10,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,5000,17.40360643814247,16.81653790521443,17.99067497107051,0.8302402813093099,2,0.04770507102997461
11,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,7000,17.93653005291946,17.79800487201007,18.07505523382885,0.1959041895722461,2,0.010922078517653951
12,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,10000,17.903997649708224,17.771062603486808,18.03693269592964,0.18799854528102053,2,0.01050036695486744
13,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,30000,17.346741410709896,17.341652810467384,17.351830010952412,0.007196367476459743,2,0.00041485413923428283
14,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,100000,17.341979701342915,17.21899784218912,17.464961560496707,0.17392261314115276,2,0.010028994159627847
15,bch_255_239_r16,parity,bulk,PackedBatchGF2Kernel.apply_many,300000,35.6887279912304,35.6887279912304,35.6887279912304,,1,
16,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,10,54.03949488772989,51.843815783189726,56.23517399227004,3.1051591682599016,2,0.057460921400376626
17,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,30,151.61581950485302,142.82892258748555,160.4027164222205,12.426548791715419,2,0.08196076657632459
18,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,100,297.7896160216362,279.8592612796678,315.7199707636046,25.35735085425241,2,0.08515189748056912
19,bch_255_239_r16,parity,bulk,PackedBlockLUTKernel.apply_many_packed,300,432.3720502872885,427.5492042151094,437.1948963594676,6.820534324513459,2,0.01577468830369949
