profile,task,mode,backend,round_index,batch_size,input_width,output_width,processed_bits,block_width,lut_table_bytes,stream_chunk_size,stream_chunk_plan,active_input_bytes,l1_fit_active_input,warmups,repeats,timed,correctness_passed,skip_reason,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,ns_per_bit,samples_s,elapsed_s,affinity_status,seed
bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,6,10,255,16,2550,,,,,318.75,True,10,15,True,True,,7.770000956952572e-05,7.43999844416976e-05,9.049999061971903e-05,3.780432053117568e-06,0.04865420318558455,32.81852877660547,0.1287001128494332,30.4705919880493,7.85999000072e-05;7.77000095695e-05;7.74000072852e-05;7.82000133768e-05;7.80000118539e-05;7.84000148997e-05;7.70000042394e-05;7.75000080466e-05;9.04999906197e-05;8.22999281809e-05;7.77000095695e-05;7.73000065237e-05;7.7800010331e-05;7.43999844417e-05;7.43999844417e-05,0.002363000065088272,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,6,10,255,16,2550,14,622592,,,318.75,True,10,15,True,True,,4.8299902118742466e-05,4.770001396536827e-05,5.810009315609932e-05,2.5744048057735302e-06,0.05330041455248724,52.795138046677096,0.20703975704579253,18.941138085781358,4.84000192955e-05;4.83000185341e-05;4.79998998344e-05;4.79000154883e-05;4.79000154883e-05;4.88000223413e-05;4.86000208184e-05;4.88000223413e-05;4.82999021187e-05;5.81000931561e-05;4.84999036416e-05;4.80000162497e-05;4.77000139654e-05;4.78000147268e-05;4.81000170112e-05,0.0049192000878974795,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,6,10,255,16,2550,,,1000,10,318.75,True,10,15,True,True,,7.599999662488699e-05,7.480010390281677e-05,8.52999510243535e-05,3.4379376875845008e-06,0.04523602421396309,33.55263306899906,0.13157895321176102,29.80392024505372,7.71000050008e-05;7.65000004321e-05;7.49999890104e-05;7.48001039028e-05;7.51999905333e-05;8.52999510244e-05;7.58999958634e-05;7.59999966249e-05;7.58999958634e-05;8.17000400275e-05;8.45999456942e-05;7.82000133768e-05;7.56999943405e-05;7.91000202298e-05;7.54999928176e-05,0.0023648999631404877,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,6,10,255,16,2550,14,622592,1000,10,318.75,True,10,15,True,True,,4.970002919435501e-05,4.8200017772614956e-05,9.8800053820014e-05,1.8093378894992314e-05,0.36405167538709177,51.30781694368968,0.20120712526937132,19.490207527198045,4.92000253871e-05;5.94999874011e-05;4.91000246257e-05;5.39999455214e-05;8.09000339359e-05;9.880005382e-05;8.6999963969e-05;8.35999380797e-05;7.92000209913e-05;4.97000291944e-05;4.8500020057e-05;4.82000177726e-05;4.82999021187e-05;4.84000192955e-05;4.83000185341e-05,0.006101700011640787,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,6,30,255,16,7650,,,,,956.25,True,10,15,True,True,,0.00021359999664127827,0.0002106999745592475,0.00022289995104074478,2.8971548980975215e-06,0.013563459474032808,35.81460730473455,0.14044944041072374,27.92156818840239,0.000213099992834;0.000222899951041;0.000213999999687;0.000214700005017;0.000212699989788;0.00021349999588;0.000214300001971;0.000213899998926;0.000212699989788;0.000211899983697;0.000217900029384;0.000210699974559;0.000212299986742;0.000213599996641;0.000214400002733,0.0060267000226303935,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,6,30,255,16,7650,14,622592,,,956.25,True,10,15,True,True,,5.91999851167202e-05,5.8200093917548656e-05,8.489994797855616e-05,7.498666249538319e-06,0.12666669146544138,129.22300546050923,0.5067568841588598,7.738560145976496,5.91999851167e-05;7.27999722585e-05;6.02999934927e-05;5.89999835938e-05;5.91001007706e-05;5.95999881625e-05;8.48999479786e-05;6.33000163361e-05;5.91999851167e-05;5.88999828324e-05;5.8599980548e-05;5.82000939175e-05;5.82999782637e-05;5.84999797866e-05;6.87999418005e-05,0.005017800023779273,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,stream_chunked,PackedBatchGF2Kernel.apply_many,6,30,255,16,7650,,,1000,30,956.25,True,10,15,True,True,,0.00021909992210566998,0.00021299999207258224,0.00030209997203201056,2.1959328173086092e-05,0.1002251756278366,34.91557608272664,0.13692382777539858,28.64051269355163,0.000219200039282;0.000212999992073;0.000213099992834;0.000215300009586;0.000219300040044;0.000217099906877;0.000217900029384;0.000217700027861;0.000302099972032;0.000233300030231;0.000219800043851;0.000222399947233;0.000220500049181;0.000219099922106;0.000218700035475,0.007741300039924681,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,stream_chunked,PackedBlockLUTKernel.apply_many_packed,6,30,255,16,7650,14,622592,1000,30,956.25,True,10,15,True,True,,5.909998435527086e-05,5.859998054802418e-05,0.00018910004291683435,3.3517222864142754e-05,0.5671274405532648,129.44165863079,0.5076143475717254,7.725488151015799,5.9200101532e-05;5.90999843553e-05;5.90999843553e-05;5.89999835938e-05;5.87999820709e-05;5.99999912083e-05;0.000189100042917;6.37000193819e-05;5.94999874011e-05;5.87999820709e-05;5.87999820709e-05;5.8599980548e-05;5.89999835938e-05;5.8599980548e-05;5.91001007706e-05,0.004939800011925399,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,bulk,PackedBatchGF2Kernel.apply_many,6,100,255,16,25500,,,,,3187.5,True,10,15,True,True,,0.0006978999590501189,0.0006843999726697803,0.000777499983087182,2.1712543811449517e-05,0.0311112553165951,36.538188130440545,0.14328701227623744,27.368625845102702,0.000777499983087;0.000701699987985;0.00069789995905;0.000701299984939;0.000699000083841;0.000690899905749;0.000699700089172;0.000690899905749;0.000690500019118;0.000695200054906;0.00068439997267;0.000692400033586;0.00069789995905;0.000700899981894;0.000696000060998,0.019488500081934035,psutil cpu_affinity set to 6,42
bch_255_239_r16,syndrome,bulk,PackedBlockLUTKernel.apply_many_packed,6,100,255,16,25500,14,622592,,,3187.5,True,10,15,True,True,,0.00015390000771731138,0.0001482999650761485,0.00016649998724460602,4.840699528784034e-06,0.03145353662148991,165.69199948865008,0.649772547014314,6.0352944202867205,0.000158999930136;0.000157800037414;0.000157600035891;0.000151099986397;0.000153200002387;0.000153900007717;0.000151799991727;0.000151599990204;0.000161899952218;0.000157300033607;0.000166499987245;0.000150899984874;0.000148299965076;0.000154000008479;0.000152099994011,0.008819399983622134,psutil cpu_affinity set to 6,42
