profile,task,backend,baseline_role,batch_size,representative_batch_size,is_representative_batch,input_width,output_width,processed_bits,block_width,block_width_source,lut_table_bytes,packed_word_bits,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,round_count,correctness_passed,timed,skip_reason,warmups,repeats,build_init_s,affinity_status,frequency_lock_status,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes,lut_vs_direct,lut_vs_naive
bch_255_239_r16,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",1500,1500,True,255,16,382500,,,,16,0.0660803000209853,0.0637205999810248,0.0700348999816924,0.0018761692095553,0.0282065133390319,5.788411975710286,0.022699654806707,10,True,True,,30,10,2.638334900024347,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=1500",15.44059801175051,96.50280654843166
bch_255_239_r16,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1500,1500,True,255,16,382500,,,,16,0.0105729500064626,0.0096821999177336,0.0119521999731659,0.0007802394330343,0.0737498448900767,36.17722582308625,0.1418714738160245,10,True,True,,30,10,2.638334900024347,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA; chunked_online=False; chunk_size=1500,15.44059801175051,96.50280654843166
bch_255_239_r16,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1500,1500,True,255,16,382500,14.0,fixed_round34_r16_w14,622592.0,16,0.0006847500335425,0.0006568999961018,0.0010714000090956,0.0001246171351746,0.1731490957230053,558.5980011145948,2.190580396527823,10,True,True,,30,10,2.638334900024347,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep; chunked_online=False; chunk_size=1500,15.44059801175051,96.50280654843166
bch_255_231_r24,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",1000,1000,True,255,24,255000,,,,32,0.0476701500010676,0.043349599931389,0.0594858999829739,0.005087083556372,0.1049974315354795,5.349259442109764,0.0209774880082735,10,True,True,,30,10,0.1144111000467091,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=1000",21.4582492234202,99.88506545785003
bch_255_231_r24,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1000,1000,True,255,24,255000,,,,32,0.0102409499813802,0.0086347000906243,0.0135510999243706,0.0014781346073294,0.1432475872565504,24.900033733553265,0.0976471911119735,10,True,True,,30,10,0.1144111000467091,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA; chunked_online=False; chunk_size=1000,21.4582492234202,99.88506545785003
bch_255_231_r24,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1000,1000,True,255,24,255000,20.0,round32_cache_width_decision_summary:round32_cache_width_decision_summary.csv,40894464.0,32,0.0004772500251419,0.0004639000399038,0.0010335000697523,0.0001762886237487,0.3309341290417254,534.3111295261562,2.095337762847671,10,True,True,,30,10,0.1144111000467091,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep; chunked_online=False; chunk_size=1000,21.4582492234202,99.88506545785003
bch_511_484_r27,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",1500,1500,True,511,27,766500,,,,32,0.073186749999877,0.0705017999280244,0.0770234999945387,0.0020177576990019,0.0274780384107715,10.47320724039922,0.0204955131906051,10,True,True,,30,10,1.749608099926263,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=1500",21.433107417716023,44.01548560048741
bch_511_484_r27,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,1500,1500,True,511,27,766500,,,,32,0.035637900000438,0.0332782999612391,0.0430574999190866,0.0027615995504121,0.0762190412473297,21.50800131294429,0.0420900221388342,10,True,True,,30,10,1.749608099926263,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA; chunked_online=False; chunk_size=1500,21.433107417716023,44.01548560048741
bch_511_484_r27,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,1500,1500,True,511,27,766500,16.0,round32_cache_width_decision_summary:round32_cache_width_decision_summary.csv,8388608.0,32,0.0016627500299364,0.0015592999989166,0.0018817000091075,0.0001025186765641,0.0609885335770755,460.98330248071227,0.9021199657156797,10,True,True,,30,10,1.749608099926263,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep; chunked_online=False; chunk_size=1500,21.433107417716023,44.01548560048741
bch_1023_993_r30,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",1000,1000,True,1023,30,1023000,,,,32,0.0563846500008367,0.054205400054343,0.0575922999996691,0.0010135119742397,0.0179872827684338,18.14323579174154,0.017735323354586,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=1000",25.516211498321518,27.429110082688773
