profile,task,backend,baseline_role,batch_size,representative_batch_size,is_representative_batch,input_width,output_width,processed_bits,block_width,block_width_source,lut_table_bytes,packed_word_bits,median_runtime_s,min_runtime_s,max_runtime_s,stdev_runtime_s,cv,throughput_Mbit_s,throughput_Mcodeword_s,round_count,correctness_passed,timed,skip_reason,warmups,repeats,build_init_s,affinity_status,frequency_lock_status,galois_available,galois_version,cpu_model,l1d_bytes,l2_bytes,l3_bytes,python_version,numpy_version,thread_count,seed,notes
bch_1023_993_r30,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",100,1000,False,1023,30,102300,,,,32,0.005587149993516505,0.005340400035493076,0.007872099988162518,0.0008886779117523164,0.14615042856958793,18.309871780552154,0.017898212884215205,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=100"
bch_1023_993_r30,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,100,1000,False,1023,30,102300,,,,32,0.005202249973081052,0.0049165000673383474,0.007000700104981661,0.0005990117538152244,0.11207018046144462,19.664568317429858,0.019222451923196344,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA; chunked_online=False; chunk_size=100
bch_1023_993_r30,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,100,1000,False,1023,30,102300,14,round32_cache_width_decision_summary:round32_cache_width_decision_summary.csv,4849664,32,0.0003826500033028424,0.0003584999358281493,0.001024700002744794,0.00020331624445329153,0.45112217005483346,267.34613646151274,0.26133542176100955,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep; chunked_online=False; chunk_size=100
bch_1023_993_r30,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",300,1000,False,1023,30,306900,,,,32,0.01773715001763776,0.017374000046402216,0.019948900095187128,0.000841569850105314,0.046597184553597494,17.302666983975424,0.016913652965762877,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=300"
bch_1023_993_r30,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,300,1000,False,1023,30,306900,,,,32,0.01709789998130873,0.016803800011985004,0.01855719997547567,0.0005610232056517402,0.032446604458712856,17.949572774171116,0.017546014442005,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA; chunked_online=False; chunk_size=300
bch_1023_993_r30,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,300,1000,False,1023,30,306900,14,round32_cache_width_decision_summary:round32_cache_width_decision_summary.csv,4849664,32,0.0007963500102050602,0.0007645000005140901,0.0009323999984189868,4.8942690577827067e-05,0.06043352033633186,385.383306419464,0.3767187746035816,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep; chunked_online=False; chunk_size=300
bch_1023_993_r30,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",500,1000,False,1023,30,511500,,,,32,0.03066749998833984,0.029217800009064376,0.03973690001294017,0.003768214788883771,0.11521133371431347,16.678894601597083,0.016303904791395,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=500"
bch_1023_993_r30,syndrome,PackedBatchGF2Kernel.apply_many,fair vectorized same-task baseline,500,1000,False,1023,30,511500,,,,32,0.026542550011072308,0.025688099907711148,0.028804700006730855,0.0010794328319745337,0.0401625066568625,19.2709441928762,0.018837677607894624,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,headline fair baseline for fixed xA; chunked_online=False; chunk_size=500
bch_1023_993_r30,syndrome,PackedBlockLUTKernel.apply_many_packed,packed block-LUT kernel under test,500,1000,False,1023,30,511500,14,round32_cache_width_decision_summary:round32_cache_width_decision_summary.csv,4849664,32,0.0013265999732539058,0.001084199990145862,0.002417400013655424,0.0004609826832326597,0.2966999329623375,385.5721470771514,0.37690336957688303,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,block width selected from cache sweep; chunked_online=False; chunk_size=500
bch_1023_993_r30,syndrome,galois_per_codeword,"naive library-call baseline, per-codeword",700,1000,False,1023,30,716100,,,,32,0.04289794998476282,0.039028100087307394,0.045345099992118776,0.0021346152980154494,0.0501449366957192,16.693105387421912,0.01631779607763628,10,True,True,,30,10,1.7787444000132382,psutil cpu_affinity set to 2,cpupower/intel_pstate unavailable on Windows,True,0.4.10,"Intel64 Family 6 Model 186 Stepping 2, GenuineIntel",32768,1048576,16777216,3.11.5,1.24.3,1;1;1,42,"naive library-call baseline, per-codeword galois GF(2) matmul; chunked_online=False; chunk_size=700"
