snr_db,h,batch_blocks,max_blocks,window_blocks,total_blocks,emitted_blocks,measurement_blocks,warmup_blocks_total,discard_blocks_total,dropped_measurement_blocks,flush_blocks,total_bits,input_total_bits,pre_fec_errors,post_fec_errors,pre_fec_ber,post_fec_ber,elapsed_sec,avg_sec_per_input_block_3552bits,measurement_bits_per_sec,input_bits_per_sec,codec_init_sec,tx_gen_sec,channel_sec,decode_sec,flush_sec,batch_elapsed_sec,target_post_ber,min_post_errors,codec_mode,stop_reason,backend,block_width,external_backend_init_sec,common_table_init_sec,point_wall_sec
13.5,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,766417,566223,0.012886606431861226,0.009520525971720041,86.83638849994168,0.004983722939620161,684896.2863078989,821875.5435694788,34.369154799846,16.030349202337675,42.8520979990717,395.06348809984047,0.05026390007697046,488.37127080140635,1e-09,200,batched,target_errors_reached,block_lut,14,0.016247599967755377,3.271680500009097,86.85560069989879
13.55,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,743545,502860,0.012502034505208334,0.00845513462035124,115.69887430011295,0.006640201693073516,514040.61067811045,616848.7328137326,51.18485070008319,21.09827800025232,55.829128300305456,540.8218358001905,0.03634649980813265,668.9766953008948,1e-09,200,batched,target_errors_reached,block_lut,14,0.018834699993021786,3.300025127828121e-06,115.72139349998906
13.6,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,720923,436708,0.012121666101713155,0.007342848764634986,115.38087730004918,0.006621951176540931,515457.3391337409,618548.8069604891,53.63420069986023,20.928756600013003,55.533363699680194,530.9284749035724,0.03326389996800572,661.0651429990539,1e-09,200,batched,target_errors_reached,block_lut,14,0.02348490001168102,2.599903382360935e-06,115.40742269996554
13.65,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,699082,369608,0.011754429504562671,0.006214623149104683,135.94228640000802,0.0078020136822777785,437493.8922610065,524992.6707132078,55.65829790011048,25.059711895883083,61.39350210200064,639.3652132978896,0.06328469968866557,781.549957397161,1e-09,200,batched,target_errors_reached,block_lut,14,0.024605700047686696,6.9999368861317635e-06,135.97200910001993
13.7,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,676735,285416,0.011378684976540978,0.004799011062327824,107.43563880003057,0.006165957231406714,553577.1990028236,664292.6388033883,45.74792530015111,18.80738750169985,49.49584099755157,505.92795770196244,0.041369899990968406,620.0268789017573,1e-09,200,batched,target_errors_reached,block_lut,14,0.023907999973744154,4.100031219422817e-06,107.46366000000853
13.75,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,655741,180886,0.011025689915848829,0.003041433959624656,108.70321069995407,0.006238705848252644,547122.0179886107,656546.4215863327,40.303136600065045,19.0384132983163,49.28650579974055,513.2624754001154,0.036130100139416754,621.9329406003235,1e-09,200,batched,target_errors_reached,block_lut,14,0.023583700065501034,3.1999079510569572e-06,108.73165960004553
13.8,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,634825,59013,0.010674006354381886,0.0009922500484245867,124.3771353000775,0.007138265340913538,478174.061948852,573808.8743386223,42.84544589999132,22.31455520214513,56.05322140012868,599.6829183984082,0.06898790004197508,720.9719369992381,1e-09,200,batched,target_errors_reached,block_lut,14,0.013880299986340106,3.200024366378784e-06,124.39464349998161
13.85,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,614479,6535,0.010331906825714532,0.00010988009534263086,125.2760742000537,0.007189857334713826,474742.84598850005,569691.4151862,51.074163300101645,22.02377319824882,55.45717370067723,598.1520912999986,0.0579376999521628,726.7724615989719,1e-09,200,batched,target_errors_reached,block_lut,14,0.019683600054122508,2.8999056667089462e-06,125.29915560013615
13.9,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,594812,317,0.010001224065943526,5.330067363980716e-06,124.97722090000752,0.007172705515381515,475878.0805950568,571053.6967140682,48.91802549990825,21.8428730990272,55.57822230132297,599.5432184011443,0.05255720007698983,725.9428596002981,1e-09,200,batched,target_errors_reached,block_lut,14,0.013457599910907447,2.300017513334751e-06,124.99473299994133
13.95,12,16,500000,121,505296,421080,421080,63162,21054,0,20880,1724743680,2069692416,16712692,130,0.009689956944790776,7.537351869003515e-08,2552.064264699933,0.005050632232790153,675822.9813632033,810987.5776358439,43.97324699978344,479.2280352964299,1261.3982481181156,13423.75949809805,1.173542100470513,15209.705381212872,1e-09,200,batched,max_blocks_reached,block_lut,14,0.018081999965943396,3.400025889277458e-06,2552.088379099965
