snr_db,h,batch_blocks,max_blocks,window_blocks,total_blocks,emitted_blocks,measurement_blocks,warmup_blocks_total,discard_blocks_total,dropped_measurement_blocks,flush_blocks,total_bits,input_total_bits,pre_fec_errors,post_fec_errors,pre_fec_ber,post_fec_ber,elapsed_sec,avg_sec_per_input_block_3552bits,measurement_bits_per_sec,input_bits_per_sec,codec_init_sec,tx_gen_sec,channel_sec,decode_sec,flush_sec,batch_elapsed_sec,target_post_ber,min_post_errors,codec_mode,stop_reason,backend,block_width,external_backend_init_sec,common_table_init_sec,point_wall_sec
13.5,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,766417,566223,0.012886606431861226,0.009520525971720041,89.43039610004053,0.005132598490590021,665030.2648047094,798036.3177656513,34.08580529992469,16.73404969961848,43.16511089913547,416.45797839807346,0.04123009985778481,510.4895442990819,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,3.2357534000184387,89.4332200998906
13.55,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,743545,502860,0.012502034505208334,0.00845513462035124,90.4677075999789,0.005192131978878495,657404.9633596981,788885.9560316376,34.42428490018938,16.91807330097072,43.68404710001778,422.1296981984051,0.047582500032149255,517.2101007016608,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,3.2400813000276685,90.46908840001561
13.6,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,720923,436708,0.012121666101713155,0.007342848764634986,120.39936299994588,0.006909972623963836,493972.048672938,592766.4584075257,52.96195959998295,21.94803809840232,55.89417380129453,552.9739398009842,0.061318800086155534,683.8458564988105,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,3.400025889277458e-06,120.40175770001952
13.65,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,699082,369608,0.011754429504562671,0.006214623149104683,140.33384630002547,0.008054054539716797,423803.10643555137,508563.7277226616,57.961506500141695,25.347445198684,60.97729300218634,659.7657562998356,0.045298699755221605,804.1044605013449,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,2.800021320581436e-06,140.33667500002775
13.7,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,676735,285416,0.011378684976540978,0.004799011062327824,138.34062829997856,0.007939659567262313,429909.2806708701,515891.13680504414,63.837888800073415,25.051802698872052,59.475992899388075,645.1012530006701,0.04967359988950193,793.524359697476,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,2.800021320581436e-06,138.34336219995748
13.75,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,655741,180886,0.011025689915848829,0.003041433959624656,111.91244840004947,0.006422890748395861,531432.5693903209,637719.0832683851,45.38688740006182,19.720896099926904,48.920943299657665,531.0361155009596,0.04348879982717335,645.1148979994468,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,2.6999041438102722e-06,111.91522630001418
13.8,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,634825,59013,0.010674006354381886,0.0009922500484245867,126.61221549997572,0.007266541293616605,469732.8750243013,563679.4500291615,38.22921739995945,22.769880700856447,54.24567909911275,614.4638002008433,0.06561800010968,729.7806948008947,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,3.300025127828121e-06,126.61656680004671
13.85,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,614479,6535,0.010331906825714532,0.00010988009534263086,129.6292249999242,0.007439693813126962,458800.2435410285,550560.2922492342,45.838317599962465,22.89262750186026,55.50262889708392,624.9788005986484,0.05372979992534965,749.2745678990614,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,2.700020559132099e-06,129.6325843000086
13.9,12,16,500000,121,17424,14520,14520,2178,726,0,720,59473920,71368704,594812,317,0.010001224065943526,5.330067363980716e-06,129.52096920006443,0.007433480785127664,459183.71648480854,551020.4597817702,50.22335890005343,22.584806601284072,55.250437196926214,621.7860003008973,0.054126700037159026,749.9056896998081,1e-09,200,batched,target_errors_reached,syndrome_lut,,0.0,2.499902620911598e-06,129.5243979000952
13.95,12,16,500000,121,505296,421080,421080,63162,21054,0,20880,1724743680,2069692416,16712692,130,0.009689956944790776,7.537351869003515e-08,2615.529678800027,0.005176232700832832,659424.2435785669,791309.0922942804,50.4328679011669,501.24998550035525,1249.851625394891,13796.261277606245,1.1686637995298952,15599.146231780876,1e-09,200,batched,max_blocks_reached,syndrome_lut,,0.0,6.800051778554916e-06,2615.536673899973
