preset,code_profile,cache_profile,workload_type,batch_size,density_or_weight,output_mode,selected_backend,selected_block_width,oracle_best_backend,oracle_best_block_width,selection_reason,lut_bytes,fits_l1,fits_l2,fits_l3,uses_lut,cache_fit_applicable,mean_selected_latency_us,mean_oracle_best_latency_us,mean_planner_over_oracle,correctness_all_true,num_rows
lightweight,bch_255_239_r16,default_cpu_cache,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,False,False,False,False,False,18.6333393989,18.6333393989,1,True,1
lightweight,bch_255_239_r16,default_cpu_cache,candidate_test_packed,1024,density=0.05,packed,PackedBlockLUTKernel,10,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,True,True,424.499992126,424.499992126,1,True,1
lightweight,bch_255_239_r16,default_cpu_cache,candidate_test_packed,4096,density=0.05,packed,PackedBlockLUTKernel,10,PackedBlockLUTKernel,8,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,True,True,2093.06665541,1992.76666778,1.05033202796,True,1
lightweight,bch_255_239_r16,default_cpu_cache,candidate_test_packed,64,density=0.05,packed,PackedBlockLUTKernel,10,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,True,True,68.6666656596,68.6666656596,1,True,1
lightweight,bch_255_239_r16,default_cpu_cache,component_decode_batch,1,density=0.02,unpacked,PackedBatchGF2Kernel,0,NaiveGF2Kernel,0,small component decode batch batch_size=1 avoids LUT setup/mask overhead,0,False,False,False,False,False,34.7666597615,34.6333254129,1.00384988583,True,1
lightweight,bch_255_239_r16,default_cpu_cache,component_decode_batch,1024,density=0.02,unpacked,PackedBlockLUTKernel,8,PackedBlockLUTKernel,10,component decode batch batch_size=1024 uses packed LUT because selected table fits L2; unpacked output does not force vectorized fallback,16128,True,True,True,True,True,2812.06667811,2764.29999697,1.01727984705,True,1
lightweight,bch_255_239_r16,default_cpu_cache,component_decode_batch,4096,density=0.02,unpacked,PackedBlockLUTKernel,8,PackedBlockLUTKernel,6,component decode batch batch_size=4096 uses packed LUT because selected table fits L2; unpacked output does not force vectorized fallback,16128,True,True,True,True,True,21265.9333483,11773.6666774,1.80622858886,True,1
lightweight,bch_255_239_r16,default_cpu_cache,component_decode_batch,64,density=0.02,unpacked,PackedBlockLUTKernel,10,PackedBlockLUTKernel,8,component decode batch batch_size=64 uses packed LUT because selected table fits L2; unpacked output does not force vectorized fallback,51264,False,True,True,True,True,232.23333604,226.966668076,1.02320458775,True,1
lightweight,bch_255_239_r16,default_cpu_cache,dense_batch,1,density=0.5,unpacked,PackedBatchGF2Kernel,0,PackedBatchGF2Kernel,0,small dense batch batch_size=1 avoids LUT setup/mask overhead,0,False,False,False,False,False,9.79999701182,9.79999701182,1,True,1
lightweight,bch_255_239_r16,default_cpu_cache,dense_batch,1024,density=0.5,unpacked,PackedBlockLUTKernel,8,PackedBlockLUTKernel,8,dense batch batch_size=1024 uses packed LUT because selected table fits L2; unpacked output does not force vectorized fallback,16128,True,True,True,True,True,455.633329693,455.633329693,1,True,1
lightweight,bch_255_239_r16,default_cpu_cache,dense_batch,4096,density=0.5,unpacked,PackedBlockLUTKernel,8,PackedBlockLUTKernel,8,dense batch batch_size=4096 uses packed LUT because selected table fits L2; unpacked output does not force vectorized fallback,16128,True,True,True,True,True,1992.33333115,1992.33333115,1,True,1
lightweight,bch_255_239_r16,default_cpu_cache,dense_batch,64,density=0.5,unpacked,PackedBlockLUTKernel,10,PackedBlockLUTKernel,10,dense batch batch_size=64 uses packed LUT because selected table fits L2; unpacked output does not force vectorized fallback,51264,False,True,True,True,True,67.0333392918,67.0333392918,1,True,1
lightweight,bch_255_239_r16,default_cpu_cache,event_update,1,flip_count=2,unpacked,EventUpdateKernel,0,PackedBatchGF2Kernel,0,event update workload uses incremental syndrome updates,0,False,False,False,False,False,39.5999910931,12.4333503967,3.18498150778,True,1
lightweight,bch_255_239_r16,default_cpu_cache,event_update,1024,flip_count=2,unpacked,EventUpdateKernel,0,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,False,False,False,False,False,76.9000034779,76.9000034779,1,True,1
lightweight,bch_255_239_r16,default_cpu_cache,event_update,4096,flip_count=2,unpacked,EventUpdateKernel,0,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,False,False,False,False,False,261.066675497,261.066675497,1,True,1
lightweight,bch_255_239_r16,default_cpu_cache,event_update,64,flip_count=2,unpacked,EventUpdateKernel,0,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,False,False,False,False,False,16.666657757,16.666657757,1,True,1
lightweight,bch_255_239_r16,default_cpu_cache,sparse_single,1,weight=2,unpacked,SparseXorKernel,0,SparseXorKernel,0,sparse single input hamming_weight=2 <= 8,0,False,False,False,False,False,8.33335798234,8.33335798234,1,True,1
lightweight,bch_255_239_r16,large_l3_profile,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,False,False,False,False,False,14.7999962792,14.7999962792,1,True,1
