preset,workload_type,mean_planner_over_oracle,median_planner_over_oracle,p90_planner_over_oracle,p95_planner_over_oracle,max_planner_over_oracle,oracle_match_rate_backend_and_block,oracle_match_rate_backend_only,selected_backend_distribution,oracle_backend_distribution,num_rows,correctness_all_true
lightweight,candidate_test_packed,1.0208842549,1,1.05366575926,1.0972929919,1.2693879025,0.722222222222,0.972222222222,PackedBatchGF2Kernel:9;PackedBlockLUTKernel:27,NaiveGF2Kernel:1;PackedBatchGF2Kernel:8;PackedBlockLUTKernel:27,36,True
lightweight,component_decode_batch,1.05151753498,1.00495106839,1.12847421528,1.16550368885,1.80622858886,0.444444444444,0.944444444444,PackedBatchGF2Kernel:9;PackedBlockLUTKernel:27,NaiveGF2Kernel:2;PackedBatchGF2Kernel:7;PackedBlockLUTKernel:27,36,True
lightweight,dense_batch,1.04706788835,1,1.14431610948,1.21471551773,1.46803127781,0.611111111111,0.972222222222,PackedBatchGF2Kernel:9;PackedBlockLUTKernel:27,NaiveGF2Kernel:1;PackedBatchGF2Kernel:8;PackedBlockLUTKernel:27,36,True
lightweight,event_update,1.06069393077,1,1,1,3.18498150778,0.972222222222,0.972222222222,EventUpdateKernel:36,EventUpdateKernel:35;PackedBatchGF2Kernel:1,36,True
lightweight,sparse_single,1,1,1,1,1,1,1,SparseXorKernel:9,SparseXorKernel:9,9,True
paper,candidate_test_packed,1.0183577615,1,1.06167158338,1.10056437287,1.26762252426,0.722222222222,0.888888888889,PackedBatchGF2Kernel:18;PackedBlockLUTKernel:54,NaiveGF2Kernel:6;PackedBatchGF2Kernel:10;PackedBlockLUTKernel:56,72,True
paper,component_decode_batch,1.0627601819,1.01558160926,1.16857047808,1.19813921557,2.24627116743,0.402777777778,0.847222222222,PackedBatchGF2Kernel:18;PackedBlockLUTKernel:54,NaiveGF2Kernel:8;PackedBatchGF2Kernel:7;PackedBlockLUTKernel:57,72,True
paper,dense_batch,1.12143411217,1.00558788448,1.36295574826,1.45048004632,2.5165193849,0.5,0.888888888889,PackedBatchGF2Kernel:18;PackedBlockLUTKernel:54,NaiveGF2Kernel:5;PackedBatchGF2Kernel:10;PackedBlockLUTKernel:57,72,True
paper,event_update,1.00124543805,1,1,1,1.08967153955,0.986111111111,0.986111111111,EventUpdateKernel:72,EventUpdateKernel:71;PackedBatchGF2Kernel:1,72,True
paper,sparse_single,1,1,1,1,1,1,1,SparseXorKernel:9,SparseXorKernel:9,9,True
