preset,code_profile,n,r,backend,batch_size,density,block_width,mean_latency_per_word_us,mean_throughput_Mword_s,std_latency_per_word_us,std_throughput_Mword_s,packed_word_bits,correctness_all_true,num_rows
lightweight,bch_255_239_r16,255,16,Naive.apply_many,1,0.05,8,14.7333291049,0.067873322647,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,Naive.apply_many,4096,0.05,8,5.68574218581,0.17587853394,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,Naive.apply_many,64,0.05,8,6.06979150083,0.164750304827,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,1,0.05,8,12.4000168095,0.0806450519675,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,4096,0.05,8,5.66638184315,0.176479458618,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,PackedBatch.apply_many,64,0.05,8,5.58385393864,0.179087778977,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,1,0.05,8,75.9333294506,0.0131694475566,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,4096,0.05,8,0.480753579761,2.08006771473,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,PackedBlockLUT.apply_many_packed,64,0.05,8,1.28854147382,0.776071256005,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,1,0.05,8,14.6333283434,0.0683371531432,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,4096,0.05,8,7.91597493333,0.126326827513,0,0,16,True,1
lightweight,bch_255_239_r16,255,16,SparseXor.apply_many,64,0.05,8,6.59270820809,0.151682733171,0,0,16,True,1
lightweight,ebch_256_239_r17,256,17,Naive.apply_many,1,0.05,8,12.3999974069,0.0806451781546,0,0,32,True,1
lightweight,ebch_256_239_r17,256,17,Naive.apply_many,4096,0.05,8,5.96488443705,0.167647841388,0,0,32,True,1
lightweight,ebch_256_239_r17,256,17,Naive.apply_many,64,0.05,8,6.81406224127,0.146755336918,0,0,32,True,1
lightweight,ebch_256_239_r17,256,17,PackedBatch.apply_many,1,0.05,8,13.6666737186,0.0731706939514,0,0,32,True,1
