preset,code_profile,test_case,syndrome_backend,num_words,double_error_coverage,num_possible_double_errors,exact_mismatch_count,correctness_all_true,mean_latency_per_word_us,mean_throughput_Mword_s,num_rows
full,bch_255_239_r16,all_double_bit_errors,HybridPlanner.apply_many_packed,32385,full,32385,0,True,4.12877743205,0.242202447688,1
full,bch_255_239_r16,all_double_bit_errors,NaiveGF2Kernel.apply_many,32385,full,32385,0,True,9.21363947116,0.108534743858,1
full,bch_255_239_r16,all_double_bit_errors,PackedBatchGF2Kernel.apply_many,32385,full,32385,0,True,9.09879529734,0.109904659608,1
full,bch_255_239_r16,all_double_bit_errors,PackedBlockLUTKernel.apply_many_packed,32385,full,32385,0,True,4.21424292546,0.237290544871,1
full,bch_255_239_r16,all_single_bit_errors,HybridPlanner.apply_many_packed,255,,0,0,True,3.53260503831,0.283077216149,1
full,bch_255_239_r16,all_single_bit_errors,NaiveGF2Kernel.apply_many,255,,0,0,True,8.03910364744,0.124391977496,1
full,bch_255_239_r16,all_single_bit_errors,PackedBatchGF2Kernel.apply_many,255,,0,0,True,8.27109241592,0.120903013739,1
full,bch_255_239_r16,all_single_bit_errors,PackedBlockLUTKernel.apply_many_packed,255,,0,0,True,3.43652659276,0.290991491847,1
full,bch_255_239_r16,all_zero,HybridPlanner.apply_many_packed,1,,0,0,True,101.114282318,0.00988979971054,1
full,bch_255_239_r16,all_zero,NaiveGF2Kernel.apply_many,1,,0,0,True,45.3428531598,0.0220541922335,1
full,bch_255_239_r16,all_zero,PackedBatchGF2Kernel.apply_many,1,,0,0,True,37.4714311744,0.0266869977649,1
full,bch_255_239_r16,all_zero,PackedBlockLUTKernel.apply_many_packed,1,,0,0,True,97.8571396055,0.0102189784418,1
full,bch_255_239_r16,random_error_batch,HybridPlanner.apply_many_packed,4096,,0,0,True,3.36050502727,0.297574320492,1
full,bch_255_239_r16,random_error_batch,NaiveGF2Kernel.apply_many,4096,,0,0,True,8.30174734696,0.120456568745,1
full,bch_255_239_r16,random_error_batch,PackedBatchGF2Kernel.apply_many,4096,,0,0,True,8.53237653433,0.117200641108,1
full,bch_255_239_r16,random_error_batch,PackedBlockLUTKernel.apply_many_packed,4096,,0,0,True,3.25604073583,0.307121464728,1
full,bch_255_239_r16,random_received_batch,HybridPlanner.apply_many_packed,4096,,0,0,True,3.81456473316,0.262153107878,1
full,bch_255_239_r16,random_received_batch,NaiveGF2Kernel.apply_many,4096,,0,0,True,8.56319056806,0.116778902916,1
full,bch_255_239_r16,random_received_batch,PackedBatchGF2Kernel.apply_many,4096,,0,0,True,8.28292061783,0.120730361444,1
full,bch_255_239_r16,random_received_batch,PackedBlockLUTKernel.apply_many_packed,4096,,0,0,True,3.10907854636,0.321638705838,1
full,bch_255_239_r16,sampled_triple_bit_errors,HybridPlanner.apply_many_packed,4096,,0,0,True,3.10859723486,0.321688505923,1
full,bch_255_239_r16,sampled_triple_bit_errors,NaiveGF2Kernel.apply_many,4096,,0,0,True,8.16788504413,0.122430714267,1
full,bch_255_239_r16,sampled_triple_bit_errors,PackedBatchGF2Kernel.apply_many,4096,,0,0,True,8.30228096861,0.120448826507,1
full,bch_255_239_r16,sampled_triple_bit_errors,PackedBlockLUTKernel.apply_many_packed,4096,,0,0,True,2.9990304122,0.333441100141,1
