preset,workload_type,code_profile,num_blocks,window_len,num_iterations_or_steps,backend_or_method,block_width,batch_size,density,intended_syndrome_calls,executed_syndrome_calls,intended_candidate_tests,executed_candidate_tests,intended_event_updates,executed_event_updates,num_syndrome_calls,num_candidate_tests,num_executed_candidate_tests,num_event_updates,mean_total_runtime_s,mean_aggregate_latency_per_executed_unit_us,mean_throughput_Mexecuted_unit_s,std_aggregate_latency_per_executed_unit_us,correctness_all_true,notes,num_rows
lightweight,ofec_like,bch_255_239_r16,32,4,1,Naive+EventUpdate.integrated,8,64,0.05,32,32,8192,256,32,32,32,8192,256,32,0.00145890001052,4.55906253289,0.219343339291,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,4,1,Naive.apply_many,8,64,0.05,32,32,8192,256,32,32,32,8192,256,32,0.0016155,5.04843749998,0.198081089447,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,4,1,PackedBatch.apply_many,8,64,0.05,32,32,8192,256,32,32,32,8192,256,32,0.00161113331948,5.03479162338,0.198617951805,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,4,1,PackedBlockLUT.apply_many_packed,8,64,0.05,32,32,8192,256,32,32,32,8192,256,32,0.000273866675949,0.855833362342,1.16845176176,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,4,3,Naive+EventUpdate.integrated,8,64,0.05,96,96,24576,768,96,96,96,24576,768,96,0.00468650000403,4.88177083753,0.204843699813,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,4,3,Naive.apply_many,8,64,0.05,96,96,24576,768,96,96,96,24576,768,96,0.00511670000075,5.32989583412,0.187620927523,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,4,3,PackedBatch.apply_many,8,64,0.05,96,96,24576,768,96,96,96,24576,768,96,0.00512519998786,5.33874998736,0.187309763965,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,4,3,PackedBlockLUT.apply_many_packed,8,64,0.05,96,96,24576,768,96,96,96,24576,768,96,0.000820199997785,0.854374997693,1.17044623579,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,8,1,Naive+EventUpdate.integrated,8,64,0.05,32,32,8192,256,32,32,32,8192,256,32,0.00146759999916,4.58624999737,0.21804306363,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,8,1,Naive.apply_many,8,64,0.05,32,32,8192,256,32,32,32,8192,256,32,0.00174499999654,5.45312498919,0.183381089189,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,8,1,PackedBatch.apply_many,8,64,0.05,32,32,8192,256,32,32,32,8192,256,32,0.00161209999351,5.03781247971,0.198498853228,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,8,1,PackedBlockLUT.apply_many_packed,8,64,0.05,32,32,8192,256,32,32,32,8192,256,32,0.000276100006886,0.862812521518,1.15900033328,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,8,3,Naive+EventUpdate.integrated,8,64,0.05,96,96,24576,768,96,96,96,24576,768,96,0.00467860002148,4.87354168904,0.205189585686,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,8,3,Naive.apply_many,8,64,0.05,96,96,24576,768,96,96,96,24576,768,96,0.00503879998966,5.24874998923,0.190521553142,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,8,3,PackedBatch.apply_many,8,64,0.05,96,96,24576,768,96,96,96,24576,768,96,0.005095866664,5.30819444167,0.188387974666,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,32,8,3,PackedBlockLUT.apply_many_packed,8,64,0.05,96,96,24576,768,96,96,96,24576,768,96,0.0011060666875,1.15215279948,0.867940433295,0,True,trace-level workload only; no BER; no full decoder,1
lightweight,ofec_like,bch_255_239_r16,8,4,1,Naive+EventUpdate.integrated,8,64,0.05,8,8,2048,256,8,8,8,2048,256,8,0.00159416665944,5.86090683618,0.170622060366,0,True,trace-level workload only; no BER; no full decoder,1
